Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,15-01-2000,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0146,002,14CP7057,106040,529620,-8,28-12-1999,28-12-1999,30-10-2012,-16,-8,-548,-598
B14C0146,002,14CP7057,106040,529620,-14,30-10-2012,30-10-2012,27-08-2019,-21,-7,-556,-606


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0146,002,15-01-2000,63,71,-79,,,,,,
B14C0146,002,27-01-2000,58,66,-74,,,,,,
B14C0146,002,15-02-2000,47,55,-63,,,,,,
B14C0146,002,28-02-2000,48,56,-64,,,,,,
B14C0146,002,14-03-2000,55,63,-71,,,,,,
B14C0146,002,14-04-2000,57,65,-73,,,,,,
B14C0146,002,27-04-2000,63,71,-79,,,,,,
B14C0146,002,15-05-2000,67,75,-83,,,,,,
B14C0146,002,29-05-2000,60,68,-76,,,,,,
B14C0146,002,14-06-2000,64,72,-80,,,,,,
B14C0146,002,27-06-2000,67,75,-83,,,,,,
B14C0146,002,14-07-2000,56,64,-72,,,,,,
B14C0146,002,27-07-2000,63,71,-79,,,,,,
B14C0146,002,14-08-2000,65,73,-81,,,,,,
B14C0146,002,28-08-2000,64,72,-80,,,,,,
B14C0146,002,14-09-2000,61,69,-77,,,,,,
B14C0146,002,12-10-2000,45,53,-61,,,,,,
B14C0146,002,26-10-2000,50,58,-66,,,,,,
B14C0146,002,14-11-2000,46,54,-62,,,,,,
B14C0146,002,28-11-2000,49,57,-65,,,,,,
B14C0146,002,14-12-2000,39,47,-55,,,,,,
B14C0146,002,15-01-2001,,,,Y,,,,,
B14C0146,002,29-01-2001,55,63,-71,,,,,,
B14C0146,002,14-02-2001,65,73,-81,,,,,,
B14C0146,002,14-03-2001,52,60,-68,,,,,,
B14C0146,002,28-03-2001,51,59,-67,,,,,,
B14C0146,002,27-04-2001,54,62,-70,,,,,,
B14C0146,002,14-05-2001,53,61,-69,,,,,,
B14C0146,002,29-05-2001,58,66,-74,,,,,,
B14C0146,002,14-06-2001,78,86,-94,,,,,,
B14C0146,002,27-06-2001,79,87,-95,,,,,,
B14C0146,002,13-07-2001,57,65,-73,,,,,,
B14C0146,002,27-07-2001,68,76,-84,,,,,,
B14C0146,002,13-08-2001,57,65,-73,,,,,,
B14C0146,002,14-11-2001,52,60,-68,,,,,,
B14C0146,002,28-11-2001,57,65,-73,,,,,,
B14C0146,002,13-12-2001,57,65,-73,,,,,,
B14C0146,002,14-01-2002,53,61,-69,,,,,,
B14C0146,002,29-01-2002,48,56,-64,,,,,,
B14C0146,002,13-02-2002,47,55,-63,,,,,,
B14C0146,002,15-03-2002,53,61,-69,,,,,,
B14C0146,002,27-03-2002,63,71,-79,,,,,,
B14C0146,002,23-04-2002,66,74,-82,,,,,,
B14C0146,002,13-05-2002,56,64,-72,,,,,,
B14C0146,002,29-05-2002,48,56,-64,,,,,,
B14C0146,002,27-06-2002,63,71,-79,,,,,,
B14C0146,002,15-07-2002,61,69,-77,,,,,,
B14C0146,002,29-07-2002,82,90,-98,,,,,,
B14C0146,002,14-08-2002,55,63,-71,,,,,,
B14C0146,002,28-08-2002,50,58,-66,,,,,,
B14C0146,002,16-09-2002,53,61,-69,,,,,,
B14C0146,002,30-09-2002,56,64,-72,,,,,,
B14C0146,002,14-10-2002,51,59,-67,,,,,,
B14C0146,002,28-10-2002,54,62,-70,,,,,,
B14C0146,002,13-11-2002,40,48,-56,,,,,,
B14C0146,002,27-11-2002,49,57,-65,,,,,,
B14C0146,002,26-12-2002,64,72,-80,,,,,,
B14C0146,002,30-12-2002,44,52,-60,,,,,,
B14C0146,002,13-01-2003,56,64,-72,,,,,,
B14C0146,002,28-01-2003,51,59,-67,,,,,,
B14C0146,002,13-03-2003,68,76,-84,,,,,,
B14C0146,002,31-03-2003,64,72,-80,,,,,,
B14C0146,002,11-04-2003,59,67,-75,,,,,,
B14C0146,002,28-04-2003,53,61,-69,,,,,,
B14C0146,002,14-05-2003,59,67,-75,,,,,,
B14C0146,002,28-05-2003,64,72,-80,,,,,,
B14C0146,002,16-06-2003,60,68,-76,,,,,,
B14C0146,002,26-06-2003,61,69,-77,,,,,,
B14C0146,002,12-07-2003,63,71,-79,,,,,,
B14C0146,002,28-07-2003,66,74,-82,,,,,,
B14C0146,002,14-08-2003,64,72,-80,,,,,,
B14C0146,002,28-08-2003,62,70,-78,,,,,,
B14C0146,002,15-09-2003,67,75,-83,,,,,,
B14C0146,002,26-09-2003,63,71,-79,,,,,,
B14C0146,002,14-10-2003,66,74,-82,,,,,,
B14C0146,002,27-10-2003,67,75,-83,,,,,,
B14C0146,002,13-11-2003,64,72,-80,,,,,,
B14C0146,002,26-11-2003,48,56,-64,,,,,,
B14C0146,002,15-01-2004,43,51,-59,,,,,,
B14C0146,002,27-01-2004,47,55,-63,,,,,,
B14C0146,002,12-02-2004,46,54,-62,,,,,,
B14C0146,002,29-02-2004,64,72,-80,,,,,,
B14C0146,002,15-03-2004,63,71,-79,,,,,,
B14C0146,002,28-03-2004,58,66,-74,,,,,,
B14C0146,002,14-04-2004,63,71,-79,,,,,,
B14C0146,002,28-04-2004,59,67,-75,,,,,,
B14C0146,002,13-05-2004,65,73,-81,,,,,,
B14C0146,002,27-05-2004,62,70,-78,,,,,,
B14C0146,002,15-06-2004,62,70,-78,,,,,,
B14C0146,002,13-07-2004,58,66,-74,,,,,,
B14C0146,002,27-07-2004,60,68,-76,,,,,,
B14C0146,002,16-08-2004,54,62,-70,,,,,,
B14C0146,002,30-08-2004,50,58,-66,,,,,,
B14C0146,002,13-09-2004,47,55,-63,,,,,,
B14C0146,002,29-09-2004,49,57,-65,,,,,,
B14C0146,002,13-10-2004,55,63,-71,,,,,,
B14C0146,002,28-10-2004,44,52,-60,,,,,,
B14C0146,002,15-11-2004,54,62,-70,,,,,,
B14C0146,002,29-11-2004,47,55,-63,,,,,,
B14C0146,002,13-12-2004,58,66,-74,,,,,,
B14C0146,002,27-12-2004,52,60,-68,,,,,,
B14C0146,002,13-01-2005,49,57,-65,,,,,,
B14C0146,002,26-01-2005,54,62,-70,,,,,,
B14C0146,002,14-02-2005,47,55,-63,,,,,,
B14C0146,002,14-03-2005,54,62,-70,,,,,,
B14C0146,002,29-03-2005,57,65,-73,,,,,,
B14C0146,002,13-04-2005,53,61,-69,,,,,,
B14C0146,002,28-04-2005,58,66,-74,,,,,,
B14C0146,002,12-05-2005,60,68,-76,,,,,,
B14C0146,002,28-05-2005,,,,N,,,,,
B14C0146,002,14-06-2005,56,64,-72,,,,,,
B14C0146,002,29-06-2005,57,65,-73,,,,,,
B14C0146,002,13-07-2005,60,68,-76,,,,,,
B14C0146,002,28-07-2005,54,62,-70,,,,,,
B14C0146,002,12-08-2005,52,60,-68,,,,,,
B14C0146,002,30-08-2005,57,65,-73,,,,,,
B14C0146,002,13-09-2005,61,69,-77,,,,,,
B14C0146,002,28-09-2005,54,62,-70,,,,,,
B14C0146,002,14-10-2005,,,,N,,,,,
B14C0146,002,27-10-2005,58,66,-74,,,,,,
B14C0146,002,14-11-2005,68,76,-84,,,,,,
B14C0146,002,28-11-2005,55,63,-71,,,,,,
B14C0146,002,12-01-2006,60,68,-76,,,,,,
B14C0146,002,13-02-2006,54,62,-70,,,,,,
B14C0146,002,28-02-2006,51,59,-67,,,,,,
B14C0146,002,14-03-2006,63,71,-79,,,,,,
B14C0146,002,28-03-2006,53,61,-69,,,,,,
B14C0146,002,13-04-2006,51,59,-67,,,,,,
B14C0146,002,27-04-2006,61,69,-77,,,,,,
B14C0146,002,15-05-2006,60,68,-76,,,,,,
B14C0146,002,13-06-2006,62,70,-78,,,,,,
B14C0146,002,27-06-2006,59,67,-75,,,,,,
B14C0146,002,13-07-2006,61,69,-77,,,,,,
B14C0146,002,27-07-2006,60,68,-76,,,,,,
B14C0146,002,14-08-2006,50,58,-66,,,,,,
B14C0146,002,28-08-2006,35,43,-51,,,,,,
B14C0146,002,13-09-2006,51,59,-67,,,,,,
B14C0146,002,28-09-2006,51,59,-67,,,,,,
B14C0146,002,12-10-2006,51,59,-67,,,,,,
B14C0146,002,30-10-2006,51,59,-67,,,,,,
B14C0146,002,14-11-2006,27,35,-43,,,,,,
B14C0146,002,28-11-2006,44,52,-60,,,,,,
B14C0146,002,13-12-2006,40,48,-56,,,,,,
B14C0146,002,15-01-2007,44,52,-60,,,,,,
B14C0146,002,29-01-2007,48,56,-64,,,,,,
B14C0146,002,14-02-2007,40,48,-56,,,,,,
B14C0146,002,28-02-2007,39,47,-55,,,,,,
B14C0146,002,13-03-2007,53,61,-69,,,,,,
B14C0146,002,27-03-2007,54,62,-70,,,,,,
