Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0141,002,14CP7053,105362,530342,17,08-04-1994,08-04-1994,10-11-2010,12,-5,-533,-583
B14C0141,002,14CP7053,105362,530342,14,10-11-2010,10-11-2010,27-08-2019,10,-4,-535,-585


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0141,002,16-09-1996,69,74,-57,,,,,,
B14C0141,002,30-09-1996,44,49,-32,,,,,,
B14C0141,002,15-10-1996,60,65,-48,,,,,,
B14C0141,002,26-10-1996,,,,O,,,,,
B14C0141,002,13-11-1996,,,,O,,,,,
B14C0141,002,28-11-1996,23,28,-11,,,,,,
B14C0141,002,13-12-1996,35,40,-23,,,,,,
B14C0141,002,14-01-1997,66,71,-54,,,,,,
B14C0141,002,28-01-1997,59,64,-47,,,,,,
B14C0141,002,14-02-1997,24,29,-12,,,,,,
B14C0141,002,03-03-1997,51,56,-39,,,,,,
B14C0141,002,14-03-1997,61,66,-49,,,,,,
B14C0141,002,28-03-1997,59,64,-47,,,,,,
B14C0141,002,14-04-1997,73,78,-61,,,,,,
B14C0141,002,29-04-1997,47,52,-35,,,,,,
B14C0141,002,14-05-1997,55,60,-43,,,,,,
B14C0141,002,28-05-1997,73,78,-61,,,,,,
B14C0141,002,13-06-1997,66,71,-54,,,,,,
B14C0141,002,01-07-1997,35,40,-23,,,,,,
B14C0141,002,18-07-1997,65,70,-53,,,,,,
B14C0141,002,29-07-1997,79,84,-67,,,,,,
B14C0141,002,13-08-1997,76,81,-64,,,,,,
B14C0141,002,28-08-1997,56,61,-44,,,,,,
B14C0141,002,15-10-1997,32,37,-20,,,,,,
B14C0141,002,29-10-1997,61,66,-49,,,,,,
B14C0141,002,14-11-1997,52,57,-40,,,,,,
B14C0141,002,28-11-1997,38,43,-26,,,,,,
B14C0141,002,15-12-1997,36,41,-24,,,,,,
B14C0141,002,27-12-1997,28,33,-16,,,,,,
B14C0141,002,14-01-1998,44,49,-32,,,,,,
B14C0141,002,29-01-1998,34,39,-22,,,,,,
B14C0141,002,16-02-1998,56,61,-44,,,,,,
B14C0141,002,27-02-1998,58,63,-46,,,,,,
B14C0141,002,16-03-1998,44,49,-32,,,,,,
B14C0141,002,14-04-1998,38,43,-26,,,,,,
B14C0141,002,28-04-1998,38,43,-26,,,,,,
B14C0141,002,14-05-1998,74,79,-62,,,,,,
B14C0141,002,27-05-1998,65,70,-53,,,,,,
B14C0141,002,13-06-1998,22,27,-10,,,,,,
B14C0141,002,26-06-1998,40,45,-28,,,,,,
B14C0141,002,14-07-1998,75,80,-63,,,,,,
B14C0141,002,31-07-1998,66,71,-54,,,,,,
B14C0141,002,14-08-1998,78,83,-66,,,,,,
B14C0141,002,29-08-1998,51,56,-39,,,,,,
B14C0141,002,14-09-1998,,,,O,,,,,
B14C0141,002,28-09-1998,62,67,-50,,,,,,
B14C0141,002,14-11-1998,23,28,-11,,,,,,
B14C0141,002,27-11-1998,6,11,6,,,,,,
B14C0141,002,14-12-1998,18,23,-6,,,,,,
B14C0141,002,28-12-1998,3,8,9,,,,,,
B14C0141,002,15-01-1999,2,7,10,,,,,,
B14C0141,002,28-01-1999,,,,O,,,,,
B14C0141,002,15-02-1999,8,13,4,,,,,,
B14C0141,002,01-03-1999,,,,O,,,,,
B14C0141,002,15-03-1999,52,57,-40,,,,,,
B14C0141,002,29-03-1999,54,59,-42,,,,,,
B14C0141,002,15-04-1999,31,36,-19,,,,,,
B14C0141,002,28-04-1999,69,74,-57,,,,,,
B14C0141,002,17-05-1999,73,78,-61,,,,,,
B14C0141,002,28-05-1999,75,80,-63,,,,,,
B14C0141,002,14-06-1999,71,76,-59,,,,,,
B14C0141,002,28-06-1999,67,72,-55,,,,,,
B14C0141,002,13-07-1999,73,78,-61,,,,,,
B14C0141,002,28-07-1999,86,91,-74,,,,,,
B14C0141,002,13-08-1999,71,76,-59,,,,,,
B14C0141,002,27-08-1999,68,73,-56,,,,,,
B14C0141,002,13-09-1999,73,78,-61,,,,,,
B14C0141,002,27-09-1999,49,54,-37,,,,,,
B14C0141,002,14-10-1999,58,63,-46,,,,,,
B14C0141,002,28-10-1999,57,62,-45,,,,,,
B14C0141,002,15-11-1999,53,58,-41,,,,,,
B14C0141,002,29-11-1999,23,28,-11,,,,,,
B14C0141,002,14-12-1999,,,,O,,,,,
B14C0141,002,27-12-1999,,,,O,,,,,
B14C0141,002,15-01-2000,42,47,-30,,,,,,
B14C0141,002,27-01-2000,40,45,-28,,,,,,
B14C0141,002,15-02-2000,28,33,-16,,,,,,
B14C0141,002,28-02-2000,15,20,-3,,,,,,
B14C0141,002,14-03-2000,36,41,-24,,,,,,
B14C0141,002,28-03-2000,62,67,-50,,,,,,
B14C0141,002,14-04-2000,38,43,-26,,,,,,
B14C0141,002,27-04-2000,64,69,-52,,,,,,
B14C0141,002,15-05-2000,75,80,-63,,,,,,
B14C0141,002,29-05-2000,34,39,-22,,,,,,
B14C0141,002,14-06-2000,72,77,-60,,,,,,
B14C0141,002,27-06-2000,79,84,-67,,,,,,
B14C0141,002,14-07-2000,68,73,-56,,,,,,
B14C0141,002,27-07-2000,68,73,-56,,,,,,
B14C0141,002,14-08-2000,52,57,-40,,,,,,
B14C0141,002,28-08-2000,70,75,-58,,,,,,
B14C0141,002,14-09-2000,68,73,-56,,,,,,
B14C0141,002,12-10-2000,2,7,10,,,,,,
B14C0141,002,26-10-2000,28,33,-16,,,,,,
B14C0141,002,14-11-2000,3,8,9,,,,,,
B14C0141,002,28-11-2000,15,20,-3,,,,,,
B14C0141,002,14-12-2000,19,24,-7,,,,,,
B14C0141,002,15-01-2001,49,54,-37,,,,,,
B14C0141,002,29-01-2001,3,8,9,,,,,,
B14C0141,002,14-02-2001,51,56,-39,,,,,,
B14C0141,002,29-05-2001,49,54,-37,,,,,,
B14C0141,002,14-06-2001,69,74,-57,,,,,,
B14C0141,002,27-06-2001,70,75,-58,,,,,,
B14C0141,002,13-07-2001,44,49,-32,,,,,,
B14C0141,002,27-07-2001,53,58,-41,,,,,,
B14C0141,002,13-08-2001,41,46,-29,,,,,,
B14C0141,002,28-08-2001,47,52,-35,,,,,,
B14C0141,002,02-10-2001,27,32,-15,,,,,,
B14C0141,002,12-10-2001,33,38,-21,,,,,,
