Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0147,002,14CP7058,105910,529120,-113,07-04-1994,07-04-1994,30-10-2012,-60,53,-182,-234
B14C0147,002,14CP7058,105910,529120,-127,30-10-2012,30-10-2012,27-08-2019,-73,54,-197,-247


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0147,002,16-09-1996,63,10,-123,,,,,,
B14C0147,002,30-09-1996,58,5,-118,,,,,,
B14C0147,002,15-10-1996,77,24,-137,,,,,,
B14C0147,002,26-10-1996,71,18,-131,,,,,,
B14C0147,002,13-11-1996,63,10,-123,,,,,,
B14C0147,002,28-11-1996,63,10,-123,,,,,,
B14C0147,002,13-12-1996,66,13,-126,,,,,,
B14C0147,002,14-01-1997,87,34,-147,,,,,,
B14C0147,002,28-01-1997,71,18,-131,,,,,,
B14C0147,002,14-02-1997,72,19,-132,,,,,,
B14C0147,002,03-03-1997,74,21,-134,,,,,,
B14C0147,002,14-03-1997,75,22,-135,,,,,,
B14C0147,002,28-03-1997,74,21,-134,,,,,,
B14C0147,002,14-04-1997,78,25,-138,,,,,,
B14C0147,002,29-04-1997,76,23,-136,,,,,,
B14C0147,002,14-05-1997,71,18,-131,,,,,,
B14C0147,002,28-05-1997,80,27,-140,,,,,,
B14C0147,002,13-06-1997,85,32,-145,,,,,,
B14C0147,002,01-07-1997,70,17,-130,,,,,,
B14C0147,002,18-07-1997,80,27,-140,,,,,,
B14C0147,002,29-07-1997,82,29,-142,,,,,,
B14C0147,002,13-08-1997,97,44,-157,,,,,,
B14C0147,002,28-08-1997,90,37,-150,,,,,,
B14C0147,002,15-10-1997,75,22,-135,,,,,,
B14C0147,002,29-10-1997,77,24,-137,,,,,,
B14C0147,002,14-11-1997,72,19,-132,,,,,,
B14C0147,002,28-11-1997,71,18,-131,,,,,,
B14C0147,002,15-12-1997,68,15,-128,,,,,,
B14C0147,002,27-12-1997,66,13,-126,,,,,,
B14C0147,002,14-01-1998,63,10,-123,,,,,,
B14C0147,002,29-01-1998,70,17,-130,,,,,,
B14C0147,002,16-02-1998,71,18,-131,,,,,,
B14C0147,002,27-02-1998,72,19,-132,,,,,,
B14C0147,002,16-03-1998,69,16,-129,,,,,,
B14C0147,002,14-04-1998,63,10,-123,,,,,,
B14C0147,002,28-04-1998,66,13,-126,,,,,,
B14C0147,002,14-05-1998,77,24,-137,,,,,,
B14C0147,002,27-05-1998,75,22,-135,,,,,,
B14C0147,002,13-06-1998,61,8,-121,,,,,,
B14C0147,002,26-06-1998,63,10,-123,,,,,,
B14C0147,002,14-07-1998,69,16,-129,,,,,,
B14C0147,002,14-08-1998,91,38,-151,,,,,,
B14C0147,002,29-08-1998,74,21,-134,,,,,,
B14C0147,002,14-09-1998,63,10,-123,,,,,,
B14C0147,002,28-09-1998,65,12,-125,,,,,,
B14C0147,002,14-11-1998,59,6,-119,,,,,,
B14C0147,002,27-11-1998,65,12,-125,,,,,,
B14C0147,002,14-12-1998,68,15,-128,,,,,,
B14C0147,002,28-12-1998,64,11,-124,,,,,,
B14C0147,002,15-01-1999,65,12,-125,,,,,,
B14C0147,002,28-01-1999,59,6,-119,,,,,,
B14C0147,002,15-02-1999,65,12,-125,,,,,,
B14C0147,002,15-03-1999,66,13,-126,,,,,,
B14C0147,002,29-03-1999,64,11,-124,,,,,,
B14C0147,002,15-04-1999,65,12,-125,,,,,,
B14C0147,002,28-04-1999,68,15,-128,,,,,,
B14C0147,002,17-05-1999,74,21,-134,,,,,,
B14C0147,002,28-05-1999,83,30,-143,,,,,,
B14C0147,002,14-06-1999,80,27,-140,,,,,,
B14C0147,002,28-06-1999,91,38,-151,,,,,,
B14C0147,002,13-07-1999,90,37,-150,,,,,,
B14C0147,002,28-07-1999,100,47,-160,,,,,,
B14C0147,002,13-08-1999,101,48,-161,,,,,,
B14C0147,002,27-08-1999,92,39,-152,,,,,,
B14C0147,002,13-09-1999,98,45,-158,,,,,,
B14C0147,002,27-09-1999,92,39,-152,,,,,,
B14C0147,002,14-10-1999,74,21,-134,,,,,,
B14C0147,002,28-10-1999,74,21,-134,,,,,,
B14C0147,002,15-11-1999,72,19,-132,,,,,,
B14C0147,002,29-11-1999,69,16,-129,,,,,,
B14C0147,002,14-12-1999,63,10,-123,,,,,,
B14C0147,002,27-12-1999,65,12,-125,,,,,,
B14C0147,002,15-01-2000,71,18,-131,,,,,,
B14C0147,002,27-01-2000,71,18,-131,,,,,,
B14C0147,002,15-02-2000,66,13,-126,,,,,,
B14C0147,002,28-02-2000,65,12,-125,,,,,,
B14C0147,002,14-03-2000,67,14,-127,,,,,,
B14C0147,002,28-03-2000,69,16,-129,,,,,,
B14C0147,002,14-04-2000,69,16,-129,,,,,,
B14C0147,002,27-04-2000,70,17,-130,,,,,,
B14C0147,002,15-05-2000,85,32,-145,,,,,,
B14C0147,002,29-05-2000,64,11,-124,,,,,,
B14C0147,002,14-06-2000,70,17,-130,,,,,,
B14C0147,002,27-06-2000,89,36,-149,,,,,,
B14C0147,002,14-07-2000,84,31,-144,,,,,,
B14C0147,002,27-07-2000,89,36,-149,,,,,,
B14C0147,002,14-08-2000,95,42,-155,,,,,,
B14C0147,002,28-08-2000,90,37,-150,,,,,,
B14C0147,002,14-09-2000,83,30,-143,,,,,,
B14C0147,002,12-10-2000,61,8,-121,,,,,,
B14C0147,002,26-10-2000,65,12,-125,,,,,,
B14C0147,002,14-11-2000,62,9,-122,,,,,,
B14C0147,002,28-11-2000,63,10,-123,,,,,,
B14C0147,002,14-12-2000,62,9,-122,,,,,,
B14C0147,002,15-01-2001,62,9,-122,,,,,,
B14C0147,002,29-01-2001,65,12,-125,,,,,,
B14C0147,002,14-02-2001,64,11,-124,,,,,,
B14C0147,002,28-02-2001,59,6,-119,,,,,,
B14C0147,002,14-03-2001,58,5,-118,,,,,,
B14C0147,002,28-03-2001,61,8,-121,,,,,,
B14C0147,002,27-04-2001,59,6,-119,,,,,,
B14C0147,002,14-05-2001,57,4,-117,,,,,,
B14C0147,002,29-05-2001,66,13,-126,,,,,,
B14C0147,002,14-06-2001,97,44,-157,,,,,,
B14C0147,002,27-06-2001,103,50,-163,,,,,,
B14C0147,002,13-07-2001,94,41,-154,,,,,,
B14C0147,002,27-07-2001,97,44,-157,,,,,,
