Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0149,002,14CP7060,106290,529510,-18,05-04-1994,05-04-1994,30-10-2012,-26,-8,-529,-579
B14C0149,002,14CP7060,106290,529510,-27,30-10-2012,30-10-2012,27-08-2019,-34,-7,-534,-584


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0149,002,16-09-1996,54,62,-80,,,,,,
B14C0149,002,30-09-1996,49,57,-75,,,,,,
B14C0149,002,15-10-1996,46,54,-72,,,,,,
B14C0149,002,26-10-1996,46,54,-72,,,,,,
B14C0149,002,13-11-1996,35,43,-61,,,,,,
B14C0149,002,28-11-1996,42,50,-68,,,,,,
B14C0149,002,13-12-1996,38,46,-64,,,,,,
B14C0149,002,14-01-1997,72,80,-98,,,,,,
B14C0149,002,28-01-1997,60,68,-86,,,,,,
B14C0149,002,14-02-1997,49,57,-75,,,,,,
B14C0149,002,03-03-1997,56,64,-82,,,,,,
B14C0149,002,14-03-1997,50,58,-76,,,,,,
B14C0149,002,28-03-1997,53,61,-79,,,,,,
B14C0149,002,14-04-1997,54,62,-80,,,,,,
B14C0149,002,29-04-1997,44,52,-70,,,,,,
B14C0149,002,14-05-1997,52,60,-78,,,,,,
B14C0149,002,28-05-1997,55,63,-81,,,,,,
B14C0149,002,13-06-1997,51,59,-77,,,,,,
B14C0149,002,01-07-1997,43,51,-69,,,,,,
B14C0149,002,18-07-1997,45,53,-71,,,,,,
B14C0149,002,29-07-1997,51,59,-77,,,,,,
B14C0149,002,15-10-1997,43,51,-69,,,,,,
B14C0149,002,29-10-1997,55,63,-81,,,,,,
B14C0149,002,14-11-1997,47,55,-73,,,,,,
B14C0149,002,28-11-1997,52,60,-78,,,,,,
B14C0149,002,15-12-1997,57,65,-83,,,,,,
B14C0149,002,27-12-1997,38,46,-64,,,,,,
B14C0149,002,14-01-1998,38,46,-64,,,,,,
B14C0149,002,29-01-1998,48,56,-74,,,,,,
B14C0149,002,16-02-1998,45,53,-71,,,,,,
B14C0149,002,27-02-1998,46,54,-72,,,,,,
B14C0149,002,14-04-1998,,,,O,,,,,
B14C0149,002,28-04-1998,42,50,-68,,,,,,
B14C0149,002,14-05-1998,50,58,-76,,,,,,
B14C0149,002,27-05-1998,43,51,-69,,,,,,
B14C0149,002,13-06-1998,43,51,-69,,,,,,
B14C0149,002,26-06-1998,41,49,-67,,,,,,
B14C0149,002,14-07-1998,39,47,-65,,,,,,
B14C0149,002,14-08-1998,44,52,-70,,,,,,
B14C0149,002,29-08-1998,45,53,-71,,,,,,
B14C0149,002,14-09-1998,,,,O,,,,,
B14C0149,002,28-09-1998,33,41,-59,,,,,,
B14C0149,002,14-11-1998,26,34,-52,,,,,,
B14C0149,002,27-11-1998,35,43,-61,,,,,,
B14C0149,002,14-12-1998,45,53,-71,,,,,,
B14C0149,002,28-12-1998,36,44,-62,,,,,,
B14C0149,002,15-01-1999,35,43,-61,,,,,,
B14C0149,002,28-01-1999,35,43,-61,,,,,,
B14C0149,002,15-02-1999,45,53,-71,,,,,,
B14C0149,002,15-03-1999,54,62,-80,,,,,,
B14C0149,002,29-03-1999,47,55,-73,,,,,,
B14C0149,002,15-04-1999,38,46,-64,,,,,,
B14C0149,002,28-04-1999,53,61,-79,,,,,,
B14C0149,002,17-05-1999,53,61,-79,,,,,,
B14C0149,002,28-05-1999,54,62,-80,,,,,,
B14C0149,002,14-06-1999,56,64,-82,,,,,,
B14C0149,002,28-06-1999,51,59,-77,,,,,,
B14C0149,002,13-07-1999,49,57,-75,,,,,,
B14C0149,002,28-07-1999,55,63,-81,,,,,,
B14C0149,002,13-08-1999,54,62,-80,,,,,,
B14C0149,002,27-08-1999,50,58,-76,,,,,,
B14C0149,002,13-09-1999,48,56,-74,,,,,,
B14C0149,002,27-09-1999,42,50,-68,,,,,,
B14C0149,002,14-10-1999,46,54,-72,,,,,,
B14C0149,002,28-10-1999,50,58,-76,,,,,,
B14C0149,002,15-11-1999,47,55,-73,,,,,,
B14C0149,002,29-11-1999,45,53,-71,,,,,,
B14C0149,002,14-12-1999,,,,O,,,,,
B14C0149,002,27-12-1999,2,10,-28,,,,,,
B14C0149,002,15-01-2000,51,59,-77,,,,,,
B14C0149,002,27-01-2000,47,55,-73,,,,,,
B14C0149,002,15-02-2000,37,45,-63,,,,,,
B14C0149,002,28-02-2000,38,46,-64,,,,,,
B14C0149,002,14-03-2000,40,48,-66,,,,,,
B14C0149,002,28-03-2000,48,56,-74,,,,,,
B14C0149,002,14-04-2000,40,48,-66,,,,,,
B14C0149,002,27-04-2000,48,56,-74,,,,,,
B14C0149,002,15-05-2000,51,59,-77,,,,,,
B14C0149,002,29-05-2000,45,53,-71,,,,,,
B14C0149,002,14-06-2000,49,57,-75,,,,,,
B14C0149,002,27-06-2000,51,59,-77,,,,,,
B14C0149,002,14-07-2000,41,49,-67,,,,,,
B14C0149,002,27-07-2000,48,56,-74,,,,,,
B14C0149,002,14-08-2000,49,57,-75,,,,,,
B14C0149,002,28-08-2000,48,56,-74,,,,,,
B14C0149,002,14-09-2000,46,54,-72,,,,,,
B14C0149,002,12-10-2000,31,39,-57,,,,,,
B14C0149,002,26-10-2000,39,47,-65,,,,,,
B14C0149,002,14-11-2000,32,40,-58,,,,,,
B14C0149,002,28-11-2000,36,44,-62,,,,,,
B14C0149,002,14-12-2000,25,33,-51,,,,,,
B14C0149,002,15-01-2001,48,56,-74,,,,,,
B14C0149,002,29-01-2001,42,50,-68,,,,,,
B14C0149,002,14-02-2001,55,63,-81,,,,,,
B14C0149,002,14-03-2001,42,50,-68,,,,,,
B14C0149,002,28-03-2001,41,49,-67,,,,,,
B14C0149,002,27-04-2001,45,53,-71,,,,,,
B14C0149,002,14-05-2001,42,50,-68,,,,,,
B14C0149,002,29-05-2001,47,55,-73,,,,,,
B14C0149,002,14-06-2001,66,74,-92,,,,,,
B14C0149,002,27-06-2001,67,75,-93,,,,,,
B14C0149,002,13-07-2001,43,51,-69,,,,,,
B14C0149,002,27-07-2001,51,59,-77,,,,,,
B14C0149,002,13-08-2001,46,54,-72,,,,,,
B14C0149,002,28-08-2001,49,57,-75,,,,,,
B14C0149,002,02-10-2001,34,42,-60,,,,,,
B14C0149,002,12-10-2001,43,51,-69,,,,,,
B14C0149,002,30-10-2001,36,44,-62,,,,,,
