Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0144,002,14CP7056,105541,530136,-23,30-03-1994,30-03-1994,10-11-2010,31,54,-579,-629
B14C0144,002,14CP7056,105541,530136,-26,10-11-2010,10-11-2010,27-08-2019,27,53,-584,-634


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0144,002,16-09-1996,95,41,-64,,,,,,
B14C0144,002,30-09-1996,81,27,-50,,,,,,
B14C0144,002,15-10-1996,86,32,-55,,,,,,
B14C0144,002,26-10-1996,71,17,-40,,,,,,
B14C0144,002,13-11-1996,71,17,-40,,,,,,
B14C0144,002,28-11-1996,79,25,-48,,,,,,
B14C0144,002,13-12-1996,68,14,-37,,,,,,
B14C0144,002,14-01-1997,92,38,-61,,,,,,
B14C0144,002,28-01-1997,,,,D,,,,,
B14C0144,002,14-02-1997,70,16,-39,,,,,,
B14C0144,002,03-03-1997,82,28,-51,,,,,,
B14C0144,002,14-03-1997,90,36,-59,,,,,,
B14C0144,002,28-03-1997,81,27,-50,,,,,,
B14C0144,002,14-04-1997,96,42,-65,,,,,,
B14C0144,002,29-04-1997,85,31,-54,,,,,,
B14C0144,002,14-05-1997,95,41,-64,,,,,,
B14C0144,002,28-05-1997,99,45,-68,,,,,,
B14C0144,002,13-06-1997,90,36,-59,,,,,,
B14C0144,002,01-07-1997,81,27,-50,,,,,,
B14C0144,002,18-07-1997,90,36,-59,,,,,,
B14C0144,002,29-07-1997,93,39,-62,,,,,,
B14C0144,002,13-08-1997,97,43,-66,,,,,,
B14C0144,002,28-08-1997,86,32,-55,,,,,,
B14C0144,002,15-10-1997,74,20,-43,,,,,,
B14C0144,002,29-10-1997,92,38,-61,,,,,,
B14C0144,002,14-11-1997,80,26,-49,,,,,,
B14C0144,002,28-11-1997,86,32,-55,,,,,,
B14C0144,002,15-12-1997,89,35,-58,,,,,,
B14C0144,002,27-12-1997,70,16,-39,,,,,,
B14C0144,002,14-01-1998,69,15,-38,,,,,,
B14C0144,002,29-01-1998,87,33,-56,,,,,,
B14C0144,002,16-02-1998,80,26,-49,,,,,,
B14C0144,002,27-02-1998,81,27,-50,,,,,,
B14C0144,002,16-03-1998,87,33,-56,,,,,,
B14C0144,002,14-04-1998,72,18,-41,,,,,,
B14C0144,002,28-04-1998,82,28,-51,,,,,,
B14C0144,002,14-05-1998,94,40,-63,,,,,,
B14C0144,002,27-05-1998,84,30,-53,,,,,,
B14C0144,002,13-06-1998,82,28,-51,,,,,,
B14C0144,002,26-06-1998,82,28,-51,,,,,,
B14C0144,002,14-07-1998,72,18,-41,,,,,,
B14C0144,002,14-08-1998,86,32,-55,,,,,,
B14C0144,002,29-08-1998,82,28,-51,,,,,,
B14C0144,002,14-09-1998,62,8,-31,,,,,,
B14C0144,002,28-09-1998,77,23,-46,,,,,,
B14C0144,002,14-11-1998,65,11,-34,,,,,,
B14C0144,002,27-11-1998,75,21,-44,,,,,,
B14C0144,002,14-12-1998,78,24,-47,,,,,,
B14C0144,002,28-12-1998,68,14,-37,,,,,,
B14C0144,002,15-01-1999,64,10,-33,,,,,,
B14C0144,002,28-01-1999,67,13,-36,,,,,,
B14C0144,002,15-02-1999,82,28,-51,,,,,,
B14C0144,002,01-03-1999,67,13,-36,,,,,,
B14C0144,002,15-03-1999,90,36,-59,,,,,,
B14C0144,002,29-03-1999,87,33,-56,,,,,,
B14C0144,002,15-04-1999,79,25,-48,,,,,,
B14C0144,002,28-04-1999,94,40,-63,,,,,,
B14C0144,002,17-05-1999,94,40,-63,,,,,,
B14C0144,002,28-05-1999,92,38,-61,,,,,,
B14C0144,002,14-06-1999,92,38,-61,,,,,,
B14C0144,002,28-06-1999,88,34,-57,,,,,,
B14C0144,002,13-07-1999,88,34,-57,,,,,,
B14C0144,002,28-07-1999,97,43,-66,,,,,,
B14C0144,002,13-08-1999,92,38,-61,,,,,,
B14C0144,002,27-08-1999,92,38,-61,,,,,,
B14C0144,002,13-09-1999,88,34,-57,,,,,,
B14C0144,002,27-09-1999,75,21,-44,,,,,,
B14C0144,002,14-10-1999,82,28,-51,,,,,,
B14C0144,002,28-10-1999,84,30,-53,,,,,,
B14C0144,002,15-11-1999,85,31,-54,,,,,,
B14C0144,002,29-11-1999,81,27,-50,,,,,,
B14C0144,002,14-12-1999,58,4,-27,,,,,,
B14C0144,002,27-12-1999,59,5,-28,,,,,,
B14C0144,002,15-01-2000,90,36,-59,,,,,,
B14C0144,002,27-01-2000,85,31,-54,,,,,,
B14C0144,002,15-02-2000,73,19,-42,,,,,,
B14C0144,002,28-02-2000,74,20,-43,,,,,,
B14C0144,002,14-03-2000,77,23,-46,,,,,,
B14C0144,002,28-03-2000,90,36,-59,,,,,,
B14C0144,002,14-04-2000,82,28,-51,,,,,,
B14C0144,002,27-04-2000,90,36,-59,,,,,,
B14C0144,002,15-05-2000,97,43,-66,,,,,,
B14C0144,002,29-05-2000,78,24,-47,,,,,,
B14C0144,002,14-06-2000,85,31,-54,,,,,,
B14C0144,002,27-06-2000,91,37,-60,,,,,,
B14C0144,002,14-07-2000,80,26,-49,,,,,,
B14C0144,002,27-07-2000,89,35,-58,,,,,,
B14C0144,002,14-08-2000,91,37,-60,,,,,,
B14C0144,002,28-08-2000,90,36,-59,,,,,,
B14C0144,002,14-09-2000,85,31,-54,,,,,,
B14C0144,002,12-10-2000,74,20,-43,,,,,,
B14C0144,002,26-10-2000,69,15,-38,,,,,,
B14C0144,002,29-01-2001,77,23,-46,,,,,,
B14C0144,002,14-03-2001,72,18,-41,,,,,,
B14C0144,002,28-03-2001,89,35,-58,,,,,,
B14C0144,002,13-04-2001,90,36,-59,,,,,,
B14C0144,002,27-04-2001,84,30,-53,,,,,,
B14C0144,002,14-05-2001,88,34,-57,,,,,,
B14C0144,002,29-05-2001,88,34,-57,,,,,,
B14C0144,002,14-06-2001,109,55,-78,,,,,,
B14C0144,002,27-06-2001,109,55,-78,,,,,,
B14C0144,002,13-07-2001,86,32,-55,,,,,,
B14C0144,002,27-07-2001,89,35,-58,,,,,,
B14C0144,002,13-08-2001,83,29,-52,,,,,,
B14C0144,002,28-08-2001,88,34,-57,,,,,,
B14C0144,002,02-10-2001,68,14,-37,,,,,,
B14C0144,002,12-10-2001,74,20,-43,,,,,,
B14C0144,002,30-10-2001,69,15,-38,,,,,,
