Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0148,002,14CP7059,106400,529220,-91,31-03-1994,31-03-1994,30-10-2012,-95,-4,-486,-536
B14C0148,002,14CP7059,106400,529220,-103,30-10-2012,30-10-2012,27-08-2019,-100,3,-492,-542


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0148,002,16-09-1996,29,33,-124,,,,,,
B14C0148,002,30-09-1996,24,28,-119,,,,,,
B14C0148,002,15-10-1996,21,25,-116,,,,,,
B14C0148,002,26-10-1996,10,14,-105,,,,,,
B14C0148,002,13-11-1996,2,6,-97,,,,,,
B14C0148,002,28-11-1996,8,12,-103,,,,,,
B14C0148,002,13-12-1996,9,13,-104,,,,,,
B14C0148,002,28-01-1997,25,29,-120,,,,,,
B14C0148,002,14-02-1997,3,7,-98,,,,,,
B14C0148,002,03-03-1997,,,,O,,,,,
B14C0148,002,14-03-1997,18,22,-113,,,,,,
B14C0148,002,28-03-1997,10,14,-105,,,,,,
B14C0148,002,28-05-1997,24,28,-119,,,,,,
B14C0148,002,13-06-1997,25,29,-120,,,,,,
B14C0148,002,01-07-1997,11,15,-106,,,,,,
B14C0148,002,18-07-1997,24,28,-119,,,,,,
B14C0148,002,29-07-1997,25,29,-120,,,,,,
B14C0148,002,13-08-1997,29,33,-124,,,,,,
B14C0148,002,28-08-1997,24,28,-119,,,,,,
B14C0148,002,15-10-1997,14,18,-109,,,,,,
B14C0148,002,29-10-1997,22,26,-117,,,,,,
B14C0148,002,14-11-1997,14,18,-109,,,,,,
B14C0148,002,28-11-1997,3,7,-98,,,,,,
B14C0148,002,15-12-1997,,,,O,,,,,
B14C0148,002,27-12-1997,,,,O,,,,,
B14C0148,002,14-01-1998,,,,O,,,,,
B14C0148,002,29-01-1998,14,18,-109,,,,,,
B14C0148,002,16-02-1998,16,20,-111,,,,,,
B14C0148,002,27-02-1998,19,23,-114,,,,,,
B14C0148,002,16-03-1998,12,16,-107,,,,,,
B14C0148,002,14-04-1998,8,12,-103,,,,,,
B14C0148,002,28-04-1998,5,9,-100,,,,,,
B14C0148,002,14-05-1998,22,26,-117,,,,,,
B14C0148,002,27-05-1998,22,26,-117,,,,,,
B14C0148,002,13-06-1998,7,11,-102,,,,,,
B14C0148,002,26-06-1998,7,11,-102,,,,,,
B14C0148,002,14-07-1998,18,22,-113,,,,,,
B14C0148,002,14-08-1998,26,30,-121,,,,,,
B14C0148,002,29-08-1998,17,21,-112,,,,,,
B14C0148,002,14-09-1998,,,,O,,,,,
B14C0148,002,28-09-1998,13,17,-108,,,,,,
B14C0148,002,14-11-1998,4,8,-99,,,,,,
B14C0148,002,27-11-1998,4,8,-99,,,,,,
B14C0148,002,14-12-1998,21,25,-116,,,,,,
B14C0148,002,28-12-1998,4,8,-99,,,,,,
B14C0148,002,15-01-1999,5,9,-100,,,,,,
B14C0148,002,28-01-1999,5,9,-100,,,,,,
B14C0148,002,15-02-1999,19,23,-114,,,,,,
B14C0148,002,15-03-1999,16,20,-111,,,,,,
B14C0148,002,29-03-1999,14,18,-109,,,,,,
B14C0148,002,15-04-1999,15,19,-110,,,,,,
B14C0148,002,28-04-1999,21,25,-116,,,,,,
B14C0148,002,17-05-1999,26,30,-121,,,,,,
B14C0148,002,28-05-1999,29,33,-124,,,,,,
B14C0148,002,14-06-1999,27,31,-122,,,,,,
B14C0148,002,28-06-1999,30,34,-125,,,,,,
B14C0148,002,13-07-1999,30,34,-125,,,,,,
B14C0148,002,28-07-1999,33,37,-128,,,,,,
B14C0148,002,13-08-1999,32,36,-127,,,,,,
B14C0148,002,27-08-1999,28,32,-123,,,,,,
B14C0148,002,13-09-1999,30,34,-125,,,,,,
B14C0148,002,27-09-1999,24,28,-119,,,,,,
B14C0148,002,14-10-1999,16,20,-111,,,,,,
B14C0148,002,28-10-1999,19,23,-114,,,,,,
B14C0148,002,15-11-1999,16,20,-111,,,,,,
B14C0148,002,29-11-1999,10,14,-105,,,,,,
B14C0148,002,14-12-1999,,,,O,,,,,
B14C0148,002,27-12-1999,1,5,-96,,,,,,
B14C0148,002,15-01-2000,15,19,-110,,,,,,
B14C0148,002,27-01-2000,14,18,-109,,,,,,
B14C0148,002,15-02-2000,5,9,-100,,,,,,
B14C0148,002,28-02-2000,2,6,-97,,,,,,
B14C0148,002,14-03-2000,6,10,-101,,,,,,
B14C0148,002,28-03-2000,7,11,-102,,,,,,
B14C0148,002,14-04-2000,17,21,-112,,,,,,
B14C0148,002,27-04-2000,15,19,-110,,,,,,
B14C0148,002,15-05-2000,25,29,-120,,,,,,
B14C0148,002,29-05-2000,12,16,-107,,,,,,
B14C0148,002,14-06-2000,20,24,-115,,,,,,
B14C0148,002,27-06-2000,25,29,-120,,,,,,
B14C0148,002,14-07-2000,20,24,-115,,,,,,
B14C0148,002,27-07-2000,24,28,-119,,,,,,
B14C0148,002,14-08-2000,27,31,-122,,,,,,
B14C0148,002,28-08-2000,23,27,-118,,,,,,
B14C0148,002,14-09-2000,19,23,-114,,,,,,
B14C0148,002,12-10-2000,1,5,-96,,,,,,
B14C0148,002,26-10-2000,5,9,-100,,,,,,
B14C0148,002,14-11-2000,2,6,-97,,,,,,
B14C0148,002,28-11-2000,4,8,-99,,,,,,
B14C0148,002,14-12-2000,1,5,-96,,,,,,
B14C0148,002,15-01-2001,13,17,-108,,,,,,
B14C0148,002,29-01-2001,8,12,-103,,,,,,
B14C0148,002,14-02-2001,12,16,-107,,,,,,
B14C0148,002,28-02-2001,9,13,-104,,,,,,
B14C0148,002,14-03-2001,6,10,-101,,,,,,
B14C0148,002,28-03-2001,8,12,-103,,,,,,
B14C0148,002,27-04-2001,10,14,-105,,,,,,
B14C0148,002,14-05-2001,18,22,-113,,,,,,
B14C0148,002,29-05-2001,18,22,-113,,,,,,
B14C0148,002,14-06-2001,43,47,-138,,,,,,
B14C0148,002,27-06-2001,47,51,-142,,,,,,
B14C0148,002,13-07-2001,28,32,-123,,,,,,
B14C0148,002,27-07-2001,29,33,-124,,,,,,
B14C0148,002,13-08-2001,24,28,-119,,,,,,
B14C0148,002,28-08-2001,21,25,-116,,,,,,
B14C0148,002,02-10-2001,3,7,-98,,,,,,
B14C0148,002,12-10-2001,10,14,-105,,,,,,
B14C0148,002,30-10-2001,7,11,-102,,,,,,
