Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0149,001,14CP7060,106290,529510,-18,05-04-1994,05-04-1994,30-10-2012,-21,-3,-79,-129
B14C0149,001,14CP7060,106290,529510,-27,30-10-2012,30-10-2012,27-08-2019,-30,-3,-88,-138


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0149,001,16-09-1996,,,,D,,,,,
B14C0149,001,30-09-1996,,,,D,,,,,
B14C0149,001,15-10-1996,,,,D,,,,,
B14C0149,001,26-10-1996,88,91,-109,,,,,,
B14C0149,001,13-11-1996,34,37,-55,,,,,,
B14C0149,001,28-11-1996,23,26,-44,,,,,,
B14C0149,001,13-12-1996,17,20,-38,,,,,,
B14C0149,001,14-01-1997,31,34,-52,,,,,,
B14C0149,001,28-01-1997,56,59,-77,,,,,,
B14C0149,001,14-02-1997,30,33,-51,,,,,,
B14C0149,001,03-03-1997,45,48,-66,,,,,,
B14C0149,001,14-03-1997,55,58,-76,,,,,,
B14C0149,001,28-03-1997,54,57,-75,,,,,,
B14C0149,001,14-04-1997,79,82,-100,,,,,,
B14C0149,001,29-04-1997,71,74,-92,,,,,,
B14C0149,001,14-05-1997,70,73,-91,,,,,,
B14C0149,001,28-05-1997,87,90,-108,,,,,,
B14C0149,001,13-06-1997,100,103,-121,,,,,,
B14C0149,001,01-07-1997,67,70,-88,,,,,,
B14C0149,001,18-07-1997,91,94,-112,,,,,,
B14C0149,001,29-07-1997,94,97,-115,,,,,,
B14C0149,001,15-10-1997,87,90,-108,,,,,,
B14C0149,001,29-10-1997,87,90,-108,,,,,,
B14C0149,001,14-11-1997,70,73,-91,,,,,,
B14C0149,001,28-11-1997,43,46,-64,,,,,,
B14C0149,001,15-12-1997,30,33,-51,,,,,,
B14C0149,001,27-12-1997,22,25,-43,,,,,,
B14C0149,001,14-01-1998,27,30,-48,,,,,,
B14C0149,001,29-01-1998,22,25,-43,,,,,,
B14C0149,001,16-02-1998,42,45,-63,,,,,,
B14C0149,001,27-02-1998,46,49,-67,,,,,,
B14C0149,001,14-04-1998,,,,O,,,,,
B14C0149,001,28-04-1998,29,32,-50,,,,,,
B14C0149,001,14-05-1998,74,77,-95,,,,,,
B14C0149,001,27-05-1998,88,91,-109,,,,,,
B14C0149,001,13-06-1998,29,32,-50,,,,,,
B14C0149,001,26-06-1998,28,31,-49,,,,,,
B14C0149,001,14-07-1998,72,75,-93,,,,,,
B14C0149,001,14-08-1998,95,98,-116,,,,,,
B14C0149,001,29-08-1998,62,65,-83,,,,,,
B14C0149,001,14-09-1998,,,,O,,,,,
B14C0149,001,28-09-1998,62,65,-83,,,,,,
B14C0149,001,14-11-1998,20,23,-41,,,,,,
B14C0149,001,27-11-1998,4,7,-25,,,,,,
B14C0149,001,14-12-1998,8,11,-29,,,,,,
B14C0149,001,28-12-1998,17,20,-38,,,,,,
B14C0149,001,15-01-1999,19,22,-40,,,,,,
B14C0149,001,28-01-1999,12,15,-33,,,,,,
B14C0149,001,15-02-1999,13,16,-34,,,,,,
B14C0149,001,15-03-1999,45,48,-66,,,,,,
B14C0149,001,29-03-1999,50,53,-71,,,,,,
B14C0149,001,15-04-1999,39,42,-60,,,,,,
B14C0149,001,28-04-1999,73,76,-94,,,,,,
B14C0149,001,17-05-1999,86,89,-107,,,,,,
B14C0149,001,28-05-1999,95,98,-116,,,,,,
B14C0149,001,14-06-1999,97,100,-118,,,,,,
B14C0149,001,28-06-1999,102,105,-123,,,,,,
B14C0149,001,13-07-1999,,,,D,,,,,
B14C0149,001,28-07-1999,,,,D,,,,,
B14C0149,001,13-08-1999,,,,D,,,,,
B14C0149,001,27-08-1999,,,,D,,,,,
B14C0149,001,13-09-1999,,,,D,,,,,
B14C0149,001,27-09-1999,,,,D,,,,,
B14C0149,001,14-10-1999,65,68,-86,,,,,,
B14C0149,001,28-10-1999,50,53,-71,,,,,,
B14C0149,001,15-11-1999,45,48,-66,,,,,,
B14C0149,001,29-11-1999,23,26,-44,,,,,,
B14C0149,001,14-12-1999,,,,O,,,,,
B14C0149,001,27-12-1999,2,5,-23,,,,,,
B14C0149,001,15-01-2000,39,42,-60,,,,,,
B14C0149,001,27-01-2000,42,45,-63,,,,,,
B14C0149,001,15-02-2000,36,39,-57,,,,,,
B14C0149,001,28-02-2000,19,22,-40,,,,,,
B14C0149,001,14-03-2000,27,30,-48,,,,,,
B14C0149,001,28-03-2000,61,64,-82,,,,,,
B14C0149,001,14-04-2000,42,45,-63,,,,,,
B14C0149,001,27-04-2000,65,68,-86,,,,,,
B14C0149,001,15-05-2000,93,96,-114,,,,,,
B14C0149,001,29-05-2000,60,63,-81,,,,,,
B14C0149,001,14-06-2000,95,98,-116,,,,,,
B14C0149,001,27-06-2000,100,103,-121,,,,,,
B14C0149,001,14-07-2000,,,,D,,,,,
B14C0149,001,27-07-2000,,,,D,,,,,
B14C0149,001,14-08-2000,,,,D,,,,,
B14C0149,001,28-08-2000,,,,D,,,,,
B14C0149,001,14-09-2000,,,,D,,,,,
B14C0149,001,12-10-2000,30,33,-51,,,,,,
B14C0149,001,26-10-2000,30,33,-51,,,,,,
B14C0149,001,14-11-2000,7,10,-28,,,,,,
B14C0149,001,28-11-2000,10,13,-31,,,,,,
B14C0149,001,14-12-2000,30,33,-51,,,,,,
B14C0149,001,15-01-2001,32,35,-53,,,,,,
B14C0149,001,29-01-2001,13,16,-34,,,,,,
B14C0149,001,14-02-2001,24,27,-45,,,,,,
B14C0149,001,14-03-2001,35,38,-56,,,,,,
B14C0149,001,28-03-2001,44,47,-65,,,,,,
B14C0149,001,27-04-2001,40,43,-61,,,,,,
B14C0149,001,14-05-2001,80,83,-101,,,,,,
B14C0149,001,29-05-2001,85,88,-106,,,,,,
B14C0149,001,13-07-2001,102,105,-123,,,,,,
B14C0149,001,27-07-2001,102,105,-123,,,,,,
B14C0149,001,13-08-2001,85,88,-106,,,,,,
B14C0149,001,28-08-2001,93,96,-114,,,,,,
B14C0149,001,02-10-2001,32,35,-53,,,,,,
B14C0149,001,12-10-2001,62,65,-83,,,,,,
B14C0149,001,30-10-2001,57,60,-78,,,,,,
B14C0149,001,14-11-2001,30,33,-51,,,,,,
B14C0149,001,28-11-2001,41,44,-62,,,,,,
B14C0149,001,13-12-2001,41,44,-62,,,,,,
