Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0147,001,14CP7058,105910,529120,-113,,-60,-560,-610,1994/04/07,2012/12/30
B14C0147,001,14CP7058,105910,529120,-127,,-74,-575,-625,2012/12/30,2019/08/27

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0147,001,2002/01/29 00:00:00,-14,
B14C0147,001,2002/02/13 00:00:00,-12,
B14C0147,001,2002/03/15 00:00:00,-1,
B14C0147,001,2002/03/27 00:00:00,0,
B14C0147,001,2002/04/23 00:00:00,6,
B14C0147,001,2002/05/13 00:00:00,-2,
B14C0147,001,2002/05/29 00:00:00,4,
B14C0147,001,2002/06/27 00:00:00,6,
B14C0147,001,2002/07/15 00:00:00,3,
B14C0147,001,2002/07/29 00:00:00,1,
B14C0147,001,2002/08/14 00:00:00,-10,
B14C0147,001,2002/08/28 00:00:00,-10,
B14C0147,001,2002/09/16 00:00:00,-4,
B14C0147,001,2002/09/30 00:00:00,-2,
B14C0147,001,2002/10/14 00:00:00,1,
B14C0147,001,2002/10/28 00:00:00,-11,
B14C0147,001,2002/11/13 00:00:00,-15,
B14C0147,001,2002/11/27 00:00:00,-10,
B14C0147,001,2002/12/26 00:00:00,1,
B14C0147,001,2002/12/30 00:00:00,-15,
B14C0147,001,2003/01/13 00:00:00,-7,
B14C0147,001,2003/01/28 00:00:00,-9,
B14C0147,001,2003/02/19 00:00:00,-6,
B14C0147,001,2003/02/26 00:00:00,0,
B14C0147,001,2003/03/13 00:00:00,-3,
B14C0147,001,2003/03/31 00:00:00,2,
B14C0147,001,2003/04/11 00:00:00,2,
B14C0147,001,2003/04/28 00:00:00,2,
B14C0147,001,2003/05/14 00:00:00,4,
B14C0147,001,2003/05/28 00:00:00,2,
B14C0147,001,2003/06/16 00:00:00,8,
B14C0147,001,2003/06/26 00:00:00,11,
B14C0147,001,2003/07/12 00:00:00,11,
B14C0147,001,2003/07/28 00:00:00,15,
B14C0147,001,2003/08/14 00:00:00,21,
B14C0147,001,2003/08/28 00:00:00,24,
B14C0147,001,2003/09/15 00:00:00,15,
B14C0147,001,2003/09/26 00:00:00,15,
B14C0147,001,2003/10/14 00:00:00,8,
B14C0147,001,2003/10/27 00:00:00,8,
B14C0147,001,2003/11/13 00:00:00,6,
B14C0147,001,2003/11/26 00:00:00,-4,
B14C0147,001,2004/01/15 00:00:00,-14,
B14C0147,001,2004/01/27 00:00:00,-12,
B14C0147,001,2004/02/12 00:00:00,-6,
B14C0147,001,2004/02/29 00:00:00,-1,
B14C0147,001,2004/03/15 00:00:00,0,
B14C0147,001,2004/03/28 00:00:00,-4,
B14C0147,001,2004/04/14 00:00:00,1,
B14C0147,001,2004/04/28 00:00:00,5,
B14C0147,001,2004/05/13 00:00:00,4,
B14C0147,001,2004/05/27 00:00:00,9,
B14C0147,001,2004/06/15 00:00:00,11,
B14C0147,001,2004/07/13 00:00:00,5,
B14C0147,001,2004/07/27 00:00:00,2,
B14C0147,001,2004/08/16 00:00:00,3,
B14C0147,001,2004/08/30 00:00:00,-8,
B14C0147,001,2004/09/13 00:00:00,-2,
B14C0147,001,2004/09/29 00:00:00,-8,
B14C0147,001,2004/10/13 00:00:00,0,
B14C0147,001,2004/10/28 00:00:00,-12,
B14C0147,001,2004/11/15 00:00:00,-6,
B14C0147,001,2004/11/29 00:00:00,-8,
B14C0147,001,2004/12/13 00:00:00,-3,
B14C0147,001,2004/12/27 00:00:00,-9,
B14C0147,001,2005/01/13 00:00:00,-8,
B14C0147,001,2005/01/26 00:00:00,-8,
B14C0147,001,2005/02/14 00:00:00,-13,
B14C0147,001,2005/03/14 00:00:00,-10,
B14C0147,001,2005/03/29 00:00:00,-5,
B14C0147,001,2005/04/13 00:00:00,-5,
B14C0147,001,2005/04/28 00:00:00,-5,
B14C0147,001,2005/05/12 00:00:00,-3,
B14C0147,001,2005/05/28 00:00:00,,N
B14C0147,001,2005/06/14 00:00:00,2,
B14C0147,001,2005/06/29 00:00:00,10,
B14C0147,001,2005/07/13 00:00:00,3,
B14C0147,001,2005/07/28 00:00:00,0,
B14C0147,001,2005/08/12 00:00:00,-4,
B14C0147,001,2005/08/30 00:00:00,-5,
B14C0147,001,2005/09/13 00:00:00,3,
B14C0147,001,2005/09/28 00:00:00,-4,
B14C0147,001,2005/10/14 00:00:00,,N
B14C0147,001,2005/10/27 00:00:00,-7,
B14C0147,001,2005/11/14 00:00:00,-5,
B14C0147,001,2005/11/28 00:00:00,-16,
B14C0147,001,2006/01/12 00:00:00,-6,
B14C0147,001,2006/02/13 00:00:00,-8,
B14C0147,001,2006/02/28 00:00:00,-5,
B14C0147,001,2006/03/14 00:00:00,-4,
B14C0147,001,2006/03/28 00:00:00,-6,
B14C0147,001,2006/04/13 00:00:00,-8,
B14C0147,001,2006/04/27 00:00:00,-4,
B14C0147,001,2006/05/15 00:00:00,5,
B14C0147,001,2006/06/13 00:00:00,9,
B14C0147,001,2006/06/27 00:00:00,4,
B14C0147,001,2006/07/13 00:00:00,10,
B14C0147,001,2006/07/27 00:00:00,17,
B14C0147,001,2006/08/14 00:00:00,0,
B14C0147,001,2006/08/28 00:00:00,-8,
B14C0147,001,2006/09/13 00:00:00,-1,
B14C0147,001,2006/09/28 00:00:00,4,
B14C0147,001,2006/10/12 00:00:00,-8,
B14C0147,001,2006/10/30 00:00:00,-10,
B14C0147,001,2006/11/14 00:00:00,-16,
B14C0147,001,2006/11/28 00:00:00,-16,
B14C0147,001,2006/12/13 00:00:00,-17,
B14C0147,001,2007/01/15 00:00:00,-18,
B14C0147,001,2007/01/29 00:00:00,-14,
B14C0147,001,2007/02/14 00:00:00,-16,
B14C0147,001,2007/02/28 00:00:00,-18,
B14C0147,001,2007/03/13 00:00:00,-13,
B14C0147,001,2007/03/27 00:00:00,-8,
B14C0147,001,2007/04/12 00:00:00,1,
B14C0147,001,2007/04/27 00:00:00,4,
B14C0147,001,2007/05/14 00:00:00,-1,
B14C0147,001,2007/05/29 00:00:00,2,
B14C0147,001,2007/06/13 00:00:00,-5,
B14C0147,001,2007/06/27 00:00:00,-9,
B14C0147,001,2007/07/12 00:00:00,-10,
B14C0147,001,2007/07/30 00:00:00,-13,
B14C0147,001,2007/08/13 00:00:00,0,
B14C0147,001,2007/08/28 00:00:00,0,
B14C0147,001,2007/09/13 00:00:00,3,
B14C0147,001,2007/09/28 00:00:00,-3,
B14C0147,001,2007/10/16 00:00:00,-2,
B14C0147,001,2007/10/29 00:00:00,-5,
B14C0147,001,2007/11/14 00:00:00,-14,
B14C0147,001,2007/11/28 00:00:00,-12,
B14C0147,001,2007/12/14 00:00:00,-13,
B14C0147,001,2007/12/28 00:00:00,,N
B14C0147,001,2008/01/15 00:00:00,-13,
B14C0147,001,2008/01/28 00:00:00,-13,
B14C0147,001,2008/02/14 00:00:00,-7,
B14C0147,001,2008/02/28 00:00:00,-12,
B14C0147,001,2008/03/13 00:00:00,-15,
B14C0147,001,2008/03/28 00:00:00,-16,
B14C0147,001,2008/04/14 00:00:00,-9,
B14C0147,001,2008/04/28 00:00:00,-1,
B14C0147,001,2008/05/13 00:00:00,5,
B14C0147,001,2008/05/28 00:00:00,6,
B14C0147,001,2008/06/16 00:00:00,10,
B14C0147,001,2008/06/27 00:00:00,15,
B14C0147,001,2008/07/11 00:00:00,11,
B14C0147,001,2008/07/28 00:00:00,11,
B14C0147,001,2008/08/13 00:00:00,2,
B14C0147,001,2008/08/27 00:00:00,-1,
B14C0147,001,2008/09/15 00:00:00,-3,
B14C0147,001,2008/09/29 00:00:00,1,
B14C0147,001,2008/10/14 00:00:00,-12,
B14C0147,001,2008/10/27 00:00:00,-15,
B14C0147,001,2008/11/13 00:00:00,-22,
B14C0147,001,2008/11/27 00:00:00,-16,
B14C0147,001,2008/12/15 00:00:00,-12,
B14C0147,001,2008/12/30 00:00:00,,N
B14C0147,001,2009/01/13 00:00:00,-11,
B14C0147,001,2009/01/27 00:00:00,-14,
B14C0147,001,2009/02/12 00:00:00,-12,
B14C0147,001,2009/02/25 00:00:00,-8,
B14C0147,001,2009/03/14 00:00:00,,N
B14C0147,001,2009/03/26 00:00:00,-9,
B14C0147,001,2009/04/15 00:00:00,-5,
B14C0147,001,2009/04/27 00:00:00,4,
B14C0147,001,2009/05/13 00:00:00,6,
B14C0147,001,2009/05/28 00:00:00,-2,
B14C0147,001,2009/06/15 00:00:00,2,
B14C0147,001,2009/06/29 00:00:00,11,
B14C0147,001,2009/07/13 00:00:00,9,
B14C0147,001,2009/07/27 00:00:00,12,
B14C0147,001,2009/08/01 00:00:00,,N
B14C0147,001,2009/08/26 00:00:00,21,
B14C0147,001,2009/09/14 00:00:00,19,
B14C0147,001,2009/09/28 00:00:00,20,
B14C0147,001,2009/10/13 00:00:00,13,
B14C0147,001,2009/10/27 00:00:00,11,
B14C0147,001,2009/11/10 00:00:00,2,
B14C0147,001,2009/12/15 00:00:00,-7,
B14C0147,001,2009/12/28 00:00:00,-16,
B14C0147,001,2010/01/15 00:00:00,-6,
B14C0147,001,2010/01/28 00:00:00,,N
B14C0147,001,2010/02/12 00:00:00,-7,
B14C0147,001,2010/03/16 00:00:00,-8,
B14C0147,001,2010/03/29 00:00:00,-10,
B14C0147,001,2010/04/14 00:00:00,0,
B14C0147,001,2010/04/28 00:00:00,,N
B14C0147,001,2010/05/12 00:00:00,-4,
B14C0147,001,2010/05/28 00:00:00,5,
B14C0147,001,2010/06/14 00:00:00,2,
B14C0147,001,2010/06/28 00:00:00,10,
B14C0147,001,2010/07/13 00:00:00,9,
B14C0147,001,2010/07/28 00:00:00,11,
B14C0147,001,2010/08/14 00:00:00,,N
B14C0147,001,2010/08/28 00:00:00,,N
B14C0147,001,2010/09/15 00:00:00,-12,
B14C0147,001,2010/09/28 00:00:00,,N
B14C0147,001,2010/10/13 00:00:00,-10,
B14C0147,001,2010/10/27 00:00:00,-15,
B14C0147,001,2010/11/15 00:00:00,-19,
B14C0147,001,2010/11/29 00:00:00,-12,
B14C0147,001,2010/12/14 00:00:00,-12,
B14C0147,001,2010/12/28 00:00:00,,N
B14C0147,001,2011/01/13 00:00:00,-17,
