Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,15-01-2000,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0146,001,14CP7057,106040,529620,-8,28-12-1999,28-12-1999,30-12-2012,-13,-5,-101,-151
B14C0146,001,14CP7057,106040,529620,-14,30-10-2012,30-12-2012,27-08-2019,-19,-5,-107,-157


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0146,001,15-01-2000,60,65,-73,,,,,,
B14C0146,001,27-01-2000,55,60,-68,,,,,,
B14C0146,001,15-02-2000,45,50,-58,,,,,,
B14C0146,001,28-02-2000,43,48,-56,,,,,,
B14C0146,001,14-03-2000,50,55,-63,,,,,,
B14C0146,001,14-04-2000,52,57,-65,,,,,,
B14C0146,001,27-04-2000,61,66,-74,,,,,,
B14C0146,001,15-05-2000,69,74,-82,,,,,,
B14C0146,001,29-05-2000,61,66,-74,,,,,,
B14C0146,001,14-06-2000,67,72,-80,,,,,,
B14C0146,001,27-06-2000,70,75,-83,,,,,,
B14C0146,001,14-07-2000,60,65,-73,,,,,,
B14C0146,001,27-07-2000,67,72,-80,,,,,,
B14C0146,001,14-08-2000,68,73,-81,,,,,,
B14C0146,001,28-08-2000,66,71,-79,,,,,,
B14C0146,001,14-09-2000,64,69,-77,,,,,,
B14C0146,001,12-10-2000,44,49,-57,,,,,,
B14C0146,001,26-10-2000,47,52,-60,,,,,,
B14C0146,001,14-11-2000,45,50,-58,,,,,,
B14C0146,001,28-11-2000,50,55,-63,,,,,,
B14C0146,001,14-12-2000,42,47,-55,,,,,,
B14C0146,001,15-01-2001,,,,Y,,,,,
B14C0146,001,29-01-2001,51,56,-64,,,,,,
B14C0146,001,14-02-2001,65,70,-78,,,,,,
B14C0146,001,14-03-2001,52,57,-65,,,,,,
B14C0146,001,28-03-2001,51,56,-64,,,,,,
B14C0146,001,27-04-2001,56,61,-69,,,,,,
B14C0146,001,14-05-2001,57,62,-70,,,,,,
B14C0146,001,29-05-2001,63,68,-76,,,,,,
B14C0146,001,14-06-2001,83,88,-96,,,,,,
B14C0146,001,27-06-2001,86,91,-99,,,,,,
B14C0146,001,13-07-2001,63,68,-76,,,,,,
B14C0146,001,27-07-2001,62,67,-75,,,,,,
B14C0146,001,13-08-2001,61,66,-74,,,,,,
B14C0146,001,14-11-2001,50,55,-63,,,,,,
B14C0146,001,28-11-2001,56,61,-69,,,,,,
B14C0146,001,13-12-2001,56,61,-69,,,,,,
B14C0146,001,14-01-2002,53,58,-66,,,,,,
B14C0146,001,29-01-2002,49,54,-62,,,,,,
B14C0146,001,13-02-2002,48,53,-61,,,,,,
B14C0146,001,15-03-2002,55,60,-68,,,,,,
B14C0146,001,27-03-2002,65,70,-78,,,,,,
B14C0146,001,23-04-2002,73,78,-86,,,,,,
B14C0146,001,13-05-2002,61,66,-74,,,,,,
B14C0146,001,27-06-2002,69,74,-82,,,,,,
B14C0146,001,15-07-2002,67,72,-80,,,,,,
B14C0146,001,29-07-2002,57,62,-70,,,,,,
B14C0146,001,14-08-2002,57,62,-70,,,,,,
B14C0146,001,28-08-2002,47,52,-60,,,,,,
B14C0146,001,16-09-2002,55,60,-68,,,,,,
B14C0146,001,30-09-2002,60,65,-73,,,,,,
B14C0146,001,14-10-2002,54,59,-67,,,,,,
B14C0146,001,28-10-2002,55,60,-68,,,,,,
B14C0146,001,13-11-2002,37,42,-50,,,,,,
B14C0146,001,27-11-2002,50,55,-63,,,,,,
B14C0146,001,26-12-2002,62,67,-75,,,,,,
B14C0146,001,30-12-2002,38,43,-51,,,,,,
B14C0146,001,13-01-2003,50,55,-63,,,,,,
B14C0146,001,28-01-2003,49,54,-62,,,,,,
B14C0146,001,13-03-2003,71,76,-84,,,,,,
B14C0146,001,31-03-2003,68,73,-81,,,,,,
B14C0146,001,11-04-2003,63,68,-76,,,,,,
B14C0146,001,28-04-2003,58,63,-71,,,,,,
B14C0146,001,14-05-2003,64,69,-77,,,,,,
B14C0146,001,28-05-2003,70,75,-83,,,,,,
B14C0146,001,16-06-2003,66,71,-79,,,,,,
B14C0146,001,26-06-2003,67,72,-80,,,,,,
B14C0146,001,12-07-2003,69,74,-82,,,,,,
B14C0146,001,28-07-2003,73,78,-86,,,,,,
B14C0146,001,14-08-2003,67,72,-80,,,,,,
B14C0146,001,28-08-2003,67,72,-80,,,,,,
B14C0146,001,15-09-2003,73,78,-86,,,,,,
B14C0146,001,26-09-2003,69,74,-82,,,,,,
B14C0146,001,14-10-2003,56,61,-69,,,,,,
B14C0146,001,27-10-2003,73,78,-86,,,,,,
B14C0146,001,13-11-2003,68,73,-81,,,,,,
B14C0146,001,26-11-2003,50,55,-63,,,,,,
B14C0146,001,15-01-2004,48,53,-61,,,,,,
B14C0146,001,27-01-2004,45,50,-58,,,,,,
B14C0146,001,12-02-2004,50,55,-63,,,,,,
B14C0146,001,29-02-2004,61,66,-74,,,,,,
B14C0146,001,15-03-2004,65,70,-78,,,,,,
B14C0146,001,28-03-2004,61,66,-74,,,,,,
B14C0146,001,14-04-2004,66,71,-79,,,,,,
B14C0146,001,28-04-2004,63,68,-76,,,,,,
B14C0146,001,13-05-2004,71,76,-84,,,,,,
B14C0146,001,27-05-2004,69,74,-82,,,,,,
B14C0146,001,15-06-2004,68,73,-81,,,,,,
B14C0146,001,13-07-2004,64,69,-77,,,,,,
B14C0146,001,27-07-2004,66,71,-79,,,,,,
B14C0146,001,16-08-2004,60,65,-73,,,,,,
B14C0146,001,30-08-2004,54,59,-67,,,,,,
B14C0146,001,13-09-2004,51,56,-64,,,,,,
B14C0146,001,29-09-2004,54,59,-67,,,,,,
B14C0146,001,13-10-2004,58,63,-71,,,,,,
B14C0146,001,28-10-2004,45,50,-58,,,,,,
B14C0146,001,15-11-2004,56,61,-69,,,,,,
B14C0146,001,29-11-2004,48,53,-61,,,,,,
B14C0146,001,13-12-2004,60,65,-73,,,,,,
B14C0146,001,27-12-2004,50,55,-63,,,,,,
B14C0146,001,13-01-2005,49,54,-62,,,,,,
B14C0146,001,26-01-2005,54,59,-67,,,,,,
B14C0146,001,14-02-2005,43,48,-56,,,,,,
B14C0146,001,14-03-2005,49,54,-62,,,,,,
B14C0146,001,29-03-2005,54,59,-67,,,,,,
B14C0146,001,13-04-2005,54,59,-67,,,,,,
B14C0146,001,28-04-2005,59,64,-72,,,,,,
B14C0146,001,12-05-2005,65,70,-78,,,,,,
B14C0146,001,28-05-2005,,,,N,,,,,
B14C0146,001,14-06-2005,61,66,-74,,,,,,
B14C0146,001,29-06-2005,60,65,-73,,,,,,
B14C0146,001,13-07-2005,66,71,-79,,,,,,
B14C0146,001,28-07-2005,58,63,-71,,,,,,
B14C0146,001,12-08-2005,58,63,-71,,,,,,
B14C0146,001,30-08-2005,63,68,-76,,,,,,
B14C0146,001,13-09-2005,68,73,-81,,,,,,
B14C0146,001,28-09-2005,60,65,-73,,,,,,
B14C0146,001,14-10-2005,,,,N,,,,,
B14C0146,001,27-10-2005,61,66,-74,,,,,,
B14C0146,001,14-11-2005,65,70,-78,,,,,,
B14C0146,001,28-11-2005,47,52,-60,,,,,,
B14C0146,001,12-01-2006,55,60,-68,,,,,,
B14C0146,001,13-02-2006,49,54,-62,,,,,,
B14C0146,001,28-02-2006,46,51,-59,,,,,,
B14C0146,001,14-03-2006,62,67,-75,,,,,,
B14C0146,001,28-03-2006,50,55,-63,,,,,,
B14C0146,001,13-04-2006,50,55,-63,,,,,,
B14C0146,001,27-04-2006,65,70,-78,,,,,,
B14C0146,001,15-05-2006,65,70,-78,,,,,,
B14C0146,001,13-06-2006,67,72,-80,,,,,,
B14C0146,001,27-06-2006,64,69,-77,,,,,,
B14C0146,001,13-07-2006,66,71,-79,,,,,,
B14C0146,001,27-07-2006,65,70,-78,,,,,,
B14C0146,001,14-08-2006,53,58,-66,,,,,,
B14C0146,001,28-08-2006,63,68,-76,,,,,,
B14C0146,001,13-09-2006,56,61,-69,,,,,,
B14C0146,001,28-09-2006,58,63,-71,,,,,,
B14C0146,001,12-10-2006,56,61,-69,,,,,,
B14C0146,001,30-10-2006,54,59,-67,,,,,,
B14C0146,001,14-11-2006,41,46,-54,,,,,,
B14C0146,001,28-11-2006,38,43,-51,,,,,,
B14C0146,001,13-12-2006,33,38,-46,,,,,,
B14C0146,001,15-01-2007,38,43,-51,,,,,,
B14C0146,001,29-01-2007,40,45,-53,,,,,,
B14C0146,001,14-02-2007,35,40,-48,,,,,,
B14C0146,001,28-02-2007,31,36,-44,,,,,,
B14C0146,001,13-03-2007,46,51,-59,,,,,,
B14C0146,001,27-03-2007,57,62,-70,,,,,,
B14C0146,001,12-04-2007,64,69,-77,,,,,,
