Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,28-11-1996,tot:,28-04-1999,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0150,002,14CP7061,106400,530270,7,30-03-1994,30-03-1994,17-05-1999,2,-5,-707,-757


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0150,002,28-11-1996,45,50,-43,,,,,,
B14C0150,002,13-12-1996,40,45,-38,,,,,,
B14C0150,002,14-01-1997,55,60,-53,,,,,,
B14C0150,002,28-01-1997,52,57,-50,,,,,,
B14C0150,002,14-02-1997,39,44,-37,,,,,,
B14C0150,002,03-03-1997,55,60,-53,,,,,,
B14C0150,002,14-03-1997,54,59,-52,,,,,,
B14C0150,002,28-03-1997,54,59,-52,,,,,,
B14C0150,002,14-04-1997,59,64,-57,,,,,,
B14C0150,002,29-04-1997,51,56,-49,,,,,,
B14C0150,002,14-05-1997,51,56,-49,,,,,,
B14C0150,002,01-07-1997,63,68,-61,,,,,,
B14C0150,002,18-07-1997,56,61,-54,,,,,,
B14C0150,002,29-07-1997,59,64,-57,,,,,,
B14C0150,002,13-08-1997,62,67,-60,,,,,,
B14C0150,002,28-08-1997,55,60,-53,,,,,,
B14C0150,002,15-10-1997,40,45,-38,,,,,,
B14C0150,002,29-10-1997,58,63,-56,,,,,,
B14C0150,002,14-11-1997,47,52,-45,,,,,,
B14C0150,002,28-11-1997,54,59,-52,,,,,,
B14C0150,002,15-12-1997,57,62,-55,,,,,,
B14C0150,002,27-12-1997,42,47,-40,,,,,,
B14C0150,002,14-01-1998,35,40,-33,,,,,,
B14C0150,002,29-01-1998,57,62,-55,,,,,,
B14C0150,002,16-02-1998,42,47,-40,,,,,,
B14C0150,002,27-02-1998,44,49,-42,,,,,,
B14C0150,002,16-03-1998,52,57,-50,,,,,,
B14C0150,002,14-04-1998,40,45,-38,,,,,,
B14C0150,002,28-04-1998,48,53,-46,,,,,,
B14C0150,002,14-05-1998,58,63,-56,,,,,,
B14C0150,002,27-05-1998,49,54,-47,,,,,,
B14C0150,002,13-06-1998,21,26,-19,,,,,,
B14C0150,002,26-06-1998,47,52,-45,,,,,,
B14C0150,002,14-07-1998,40,45,-38,,,,,,
B14C0150,002,14-08-1998,49,54,-47,,,,,,
B14C0150,002,29-08-1998,48,53,-46,,,,,,
B14C0150,002,14-09-1998,,,,O,,,,,
B14C0150,002,28-09-1998,37,42,-35,,,,,,
B14C0150,002,14-10-1998,34,39,-32,,,,,,
B14C0150,002,27-10-1998,,,,O,,,,,
B14C0150,002,14-11-1998,,,,O,,,,,
B14C0150,002,27-11-1998,37,42,-35,,,,,,
B14C0150,002,14-12-1998,,,,O,,,,,
B14C0150,002,28-12-1998,,,,O,,,,,
B14C0150,002,15-01-1999,,,,O,,,,,
B14C0150,002,28-01-1999,,,,O,,,,,
B14C0150,002,15-02-1999,43,48,-41,,,,,,
B14C0150,002,15-03-1999,48,53,-46,,,,,,
B14C0150,002,29-03-1999,49,54,-47,,,,,,
B14C0150,002,15-04-1999,42,47,-40,,,,,,
B14C0150,002,28-04-1999,58,63,-56,,,,,,
