Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0141,001,14CP7053,105362,530342,17,08-04-1994,08-04-1994,10-11-2010,13,-4,-97,-147
B14C0141,001,14CP7053,105362,530342,14,10-11-2010,10-11-2010,27-08-2019,9,-5,-102,-152


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0141,001,16-09-1996,60,64,-47,,,,,,
B14C0141,001,30-09-1996,46,50,-33,,,,,,
B14C0141,001,15-10-1996,51,55,-38,,,,,,
B14C0141,001,26-10-1996,,,,O,,,,,
B14C0141,001,13-11-1996,,,,O,,,,,
B14C0141,001,28-11-1996,37,41,-24,,,,,,
B14C0141,001,13-12-1996,36,40,-23,,,,,,
B14C0141,001,14-01-1997,55,59,-42,,,,,,
B14C0141,001,28-01-1997,51,55,-38,,,,,,
B14C0141,001,14-02-1997,29,33,-16,,,,,,
B14C0141,001,03-03-1997,44,48,-31,,,,,,
B14C0141,001,14-03-1997,52,56,-39,,,,,,
B14C0141,001,28-03-1997,43,47,-30,,,,,,
B14C0141,001,14-04-1997,56,60,-43,,,,,,
B14C0141,001,29-04-1997,46,50,-33,,,,,,
B14C0141,001,14-05-1997,58,62,-45,,,,,,
B14C0141,001,28-05-1997,62,66,-49,,,,,,
B14C0141,001,13-06-1997,52,56,-39,,,,,,
B14C0141,001,01-07-1997,43,47,-30,,,,,,
B14C0141,001,18-07-1997,52,56,-39,,,,,,
B14C0141,001,29-07-1997,56,60,-43,,,,,,
B14C0141,001,13-08-1997,59,63,-46,,,,,,
B14C0141,001,28-08-1997,59,63,-46,,,,,,
B14C0141,001,15-10-1997,35,39,-22,,,,,,
B14C0141,001,29-10-1997,60,64,-47,,,,,,
B14C0141,001,14-11-1997,42,46,-29,,,,,,
B14C0141,001,28-11-1997,50,54,-37,,,,,,
B14C0141,001,15-12-1997,49,53,-36,,,,,,
B14C0141,001,27-12-1997,30,34,-17,,,,,,
B14C0141,001,14-01-1998,25,29,-12,,,,,,
B14C0141,001,29-01-1998,47,51,-34,,,,,,
B14C0141,001,16-02-1998,39,43,-26,,,,,,
B14C0141,001,27-02-1998,40,44,-27,,,,,,
B14C0141,001,16-03-1998,48,52,-35,,,,,,
B14C0141,001,14-04-1998,31,35,-18,,,,,,
B14C0141,001,28-04-1998,43,47,-30,,,,,,
B14C0141,001,14-05-1998,55,59,-42,,,,,,
B14C0141,001,27-05-1998,45,49,-32,,,,,,
B14C0141,001,13-06-1998,45,49,-32,,,,,,
B14C0141,001,26-06-1998,43,47,-30,,,,,,
B14C0141,001,14-07-1998,32,36,-19,,,,,,
B14C0141,001,31-07-1998,52,56,-39,,,,,,
B14C0141,001,14-08-1998,49,53,-36,,,,,,
B14C0141,001,29-08-1998,45,49,-32,,,,,,
B14C0141,001,14-09-1998,,,,O,,,,,
B14C0141,001,28-09-1998,35,39,-22,,,,,,
B14C0141,001,14-11-1998,20,24,-7,,,,,,
B14C0141,001,27-11-1998,35,39,-22,,,,,,
B14C0141,001,14-12-1998,36,40,-23,,,,,,
B14C0141,001,28-12-1998,25,29,-12,,,,,,
B14C0141,001,15-01-1999,21,25,-8,,,,,,
B14C0141,001,28-01-1999,,,,O,,,,,
B14C0141,001,15-02-1999,41,45,-28,,,,,,
B14C0141,001,01-03-1999,,,,O,,,,,
B14C0141,001,15-03-1999,50,54,-37,,,,,,
B14C0141,001,29-03-1999,46,50,-33,,,,,,
B14C0141,001,15-04-1999,36,40,-23,,,,,,
B14C0141,001,28-04-1999,55,59,-42,,,,,,
B14C0141,001,17-05-1999,54,58,-41,,,,,,
B14C0141,001,28-05-1999,51,55,-38,,,,,,
B14C0141,001,14-06-1999,52,56,-39,,,,,,
B14C0141,001,28-06-1999,48,52,-35,,,,,,
B14C0141,001,13-07-1999,48,52,-35,,,,,,
B14C0141,001,28-07-1999,57,61,-44,,,,,,
B14C0141,001,13-08-1999,51,55,-38,,,,,,
B14C0141,001,27-08-1999,51,55,-38,,,,,,
B14C0141,001,13-09-1999,47,51,-34,,,,,,
B14C0141,001,27-09-1999,34,38,-21,,,,,,
B14C0141,001,14-10-1999,39,43,-26,,,,,,
B14C0141,001,28-10-1999,43,47,-30,,,,,,
B14C0141,001,15-11-1999,44,48,-31,,,,,,
B14C0141,001,29-11-1999,39,43,-26,,,,,,
B14C0141,001,14-12-1999,,,,O,,,,,
B14C0141,001,27-12-1999,,,,O,,,,,
B14C0141,001,15-01-2000,49,53,-36,,,,,,
B14C0141,001,27-01-2000,44,48,-31,,,,,,
B14C0141,001,15-02-2000,30,34,-17,,,,,,
B14C0141,001,28-02-2000,32,36,-19,,,,,,
B14C0141,001,14-03-2000,29,33,-16,,,,,,
B14C0141,001,28-03-2000,51,55,-38,,,,,,
B14C0141,001,14-04-2000,42,46,-29,,,,,,
B14C0141,001,27-04-2000,51,55,-38,,,,,,
B14C0141,001,15-05-2000,58,62,-45,,,,,,
B14C0141,001,29-05-2000,38,42,-25,,,,,,
B14C0141,001,14-06-2000,48,52,-35,,,,,,
B14C0141,001,27-06-2000,51,55,-38,,,,,,
B14C0141,001,14-07-2000,40,44,-27,,,,,,
B14C0141,001,27-07-2000,52,56,-39,,,,,,
B14C0141,001,14-08-2000,54,58,-41,,,,,,
B14C0141,001,28-08-2000,55,59,-42,,,,,,
B14C0141,001,14-09-2000,48,52,-35,,,,,,
B14C0141,001,12-10-2000,33,37,-20,,,,,,
B14C0141,001,26-10-2000,28,32,-15,,,,,,
B14C0141,001,14-11-2000,24,28,-11,,,,,,
B14C0141,001,28-11-2000,31,35,-18,,,,,,
B14C0141,001,14-12-2000,13,17,0,,,,,,
B14C0141,001,15-01-2001,48,52,-35,,,,,,
B14C0141,001,29-01-2001,35,39,-22,,,,,,
B14C0141,001,14-02-2001,30,34,-17,,,,,,
B14C0141,001,29-05-2001,72,76,-59,,,,,,
B14C0141,001,14-06-2001,100,104,-87,,,,,,
B14C0141,001,27-06-2001,95,99,-82,,,,,,
B14C0141,001,13-07-2001,81,85,-68,,,,,,
B14C0141,001,27-07-2001,75,79,-62,,,,,,
B14C0141,001,13-08-2001,29,33,-16,,,,,,
B14C0141,001,28-08-2001,68,72,-55,,,,,,
B14C0141,001,02-10-2001,28,32,-15,,,,,,
B14C0141,001,12-10-2001,61,65,-48,,,,,,
