Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0150,001,14CP7061,106400,530270,7,,0,-109,-159,1994/03/30,1999/05/17

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0150,001,1996/12/13 00:00:00,69,
B14C0150,001,1997/01/14 00:00:00,91,
B14C0150,001,1997/01/28 00:00:00,86,
B14C0150,001,1997/02/14 00:00:00,64,
B14C0150,001,1997/03/03 00:00:00,72,
B14C0150,001,1997/03/14 00:00:00,73,
B14C0150,001,1997/03/28 00:00:00,74,
B14C0150,001,1997/04/14 00:00:00,86,
B14C0150,001,1997/04/29 00:00:00,91,
B14C0150,001,1997/05/14 00:00:00,92,
B14C0150,001,1997/07/01 00:00:00,57,
B14C0150,001,1997/07/18 00:00:00,97,
B14C0150,001,1997/07/29 00:00:00,104,
B14C0150,001,1997/08/13 00:00:00,107,
B14C0150,001,1997/08/28 00:00:00,94,
B14C0150,001,1997/10/15 00:00:00,53,
B14C0150,001,1997/10/29 00:00:00,77,
B14C0150,001,1997/11/14 00:00:00,62,
B14C0150,001,1997/11/28 00:00:00,46,
B14C0150,001,1997/12/15 00:00:00,56,
B14C0150,001,1997/12/27 00:00:00,47,
B14C0150,001,1998/01/14 00:00:00,66,
B14C0150,001,1998/01/29 00:00:00,57,
B14C0150,001,1998/02/16 00:00:00,73,
B14C0150,001,1998/02/27 00:00:00,72,
B14C0150,001,1998/03/16 00:00:00,69,
B14C0150,001,1998/04/14 00:00:00,49,
B14C0150,001,1998/04/28 00:00:00,65,
B14C0150,001,1998/05/14 00:00:00,70,
B14C0150,001,1998/05/27 00:00:00,73,
B14C0150,001,1998/06/13 00:00:00,58,
B14C0150,001,1998/06/26 00:00:00,48,
B14C0150,001,1998/07/14 00:00:00,71,
B14C0150,001,1998/08/14 00:00:00,86,
B14C0150,001,1998/08/29 00:00:00,68,
B14C0150,001,1998/09/14 00:00:00,,O
B14C0150,001,1998/09/28 00:00:00,55,
B14C0150,001,1998/10/14 00:00:00,29,
B14C0150,001,1998/10/27 00:00:00,,O
B14C0150,001,1998/11/14 00:00:00,10,
B14C0150,001,1998/11/27 00:00:00,34,
B14C0150,001,1998/12/14 00:00:00,,O
B14C0150,001,1998/12/28 00:00:00,,O
B14C0150,001,1999/01/15 00:00:00,,O
B14C0150,001,1999/01/28 00:00:00,,O
B14C0150,001,1999/02/15 00:00:00,48,
B14C0150,001,1999/03/15 00:00:00,61,
B14C0150,001,1999/03/29 00:00:00,57,
B14C0150,001,1999/04/15 00:00:00,47,
B14C0150,001,1999/04/28 00:00:00,71,
