Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0149,002,14CP7060,106290,529510,-18,,-26,-529,-579,1994/04/05,2012/10/30
B14C0149,002,14CP7060,106290,529510,-27,,-34,-534,-584,2012/10/30,2019/08/27

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0149,002,1996/09/16 00:00:00,62,
B14C0149,002,1996/09/30 00:00:00,57,
B14C0149,002,1996/10/15 00:00:00,54,
B14C0149,002,1996/10/26 00:00:00,54,
B14C0149,002,1996/11/13 00:00:00,43,
B14C0149,002,1996/11/28 00:00:00,50,
B14C0149,002,1996/12/13 00:00:00,46,
B14C0149,002,1997/01/14 00:00:00,80,
B14C0149,002,1997/01/28 00:00:00,68,
B14C0149,002,1997/02/14 00:00:00,57,
B14C0149,002,1997/03/03 00:00:00,64,
B14C0149,002,1997/03/14 00:00:00,58,
B14C0149,002,1997/03/28 00:00:00,61,
B14C0149,002,1997/04/14 00:00:00,62,
B14C0149,002,1997/04/29 00:00:00,52,
B14C0149,002,1997/05/14 00:00:00,60,
B14C0149,002,1997/05/28 00:00:00,63,
B14C0149,002,1997/06/13 00:00:00,59,
B14C0149,002,1997/07/01 00:00:00,51,
B14C0149,002,1997/07/18 00:00:00,53,
B14C0149,002,1997/07/29 00:00:00,59,
B14C0149,002,1997/10/15 00:00:00,51,
B14C0149,002,1997/10/29 00:00:00,63,
B14C0149,002,1997/11/14 00:00:00,55,
B14C0149,002,1997/11/28 00:00:00,60,
B14C0149,002,1997/12/15 00:00:00,65,
B14C0149,002,1997/12/27 00:00:00,46,
B14C0149,002,1998/01/14 00:00:00,46,
B14C0149,002,1998/01/29 00:00:00,56,
B14C0149,002,1998/02/16 00:00:00,53,
B14C0149,002,1998/02/27 00:00:00,54,
B14C0149,002,1998/04/14 00:00:00,,O
B14C0149,002,1998/04/28 00:00:00,50,
B14C0149,002,1998/05/14 00:00:00,58,
B14C0149,002,1998/05/27 00:00:00,51,
B14C0149,002,1998/06/13 00:00:00,51,
B14C0149,002,1998/06/26 00:00:00,49,
B14C0149,002,1998/07/14 00:00:00,47,
B14C0149,002,1998/08/14 00:00:00,52,
B14C0149,002,1998/08/29 00:00:00,53,
B14C0149,002,1998/09/14 00:00:00,,O
B14C0149,002,1998/09/28 00:00:00,41,
B14C0149,002,1998/11/14 00:00:00,34,
B14C0149,002,1998/11/27 00:00:00,43,
B14C0149,002,1998/12/14 00:00:00,53,
B14C0149,002,1998/12/28 00:00:00,44,
B14C0149,002,1999/01/15 00:00:00,43,
B14C0149,002,1999/01/28 00:00:00,43,
B14C0149,002,1999/02/15 00:00:00,53,
B14C0149,002,1999/03/15 00:00:00,62,
B14C0149,002,1999/03/29 00:00:00,55,
B14C0149,002,1999/04/15 00:00:00,46,
B14C0149,002,1999/04/28 00:00:00,61,
B14C0149,002,1999/05/17 00:00:00,61,
B14C0149,002,1999/05/28 00:00:00,62,
B14C0149,002,1999/06/14 00:00:00,64,
B14C0149,002,1999/06/28 00:00:00,59,
B14C0149,002,1999/07/13 00:00:00,57,
B14C0149,002,1999/07/28 00:00:00,63,
B14C0149,002,1999/08/13 00:00:00,62,
B14C0149,002,1999/08/27 00:00:00,58,
B14C0149,002,1999/09/13 00:00:00,56,
B14C0149,002,1999/09/27 00:00:00,50,
B14C0149,002,1999/10/14 00:00:00,54,
B14C0149,002,1999/10/28 00:00:00,58,
B14C0149,002,1999/11/15 00:00:00,55,
B14C0149,002,1999/11/29 00:00:00,53,
B14C0149,002,1999/12/14 00:00:00,,O
B14C0149,002,1999/12/27 00:00:00,10,
B14C0149,002,2000/01/15 00:00:00,59,
B14C0149,002,2000/01/27 00:00:00,55,
B14C0149,002,2000/02/15 00:00:00,45,
B14C0149,002,2000/02/28 00:00:00,46,
B14C0149,002,2000/03/14 00:00:00,48,
B14C0149,002,2000/03/28 00:00:00,56,
B14C0149,002,2000/04/14 00:00:00,48,
B14C0149,002,2000/04/27 00:00:00,56,
B14C0149,002,2000/05/15 00:00:00,59,
B14C0149,002,2000/05/29 00:00:00,53,
B14C0149,002,2000/06/14 00:00:00,57,
B14C0149,002,2000/06/27 00:00:00,59,
B14C0149,002,2000/07/14 00:00:00,49,
B14C0149,002,2000/07/27 00:00:00,56,
B14C0149,002,2000/08/14 00:00:00,57,
B14C0149,002,2000/08/28 00:00:00,56,
B14C0149,002,2000/09/14 00:00:00,54,
B14C0149,002,2000/10/12 00:00:00,39,
B14C0149,002,2000/10/26 00:00:00,47,
B14C0149,002,2000/11/14 00:00:00,40,
B14C0149,002,2000/11/28 00:00:00,44,
B14C0149,002,2000/12/14 00:00:00,33,
B14C0149,002,2001/01/15 00:00:00,56,
B14C0149,002,2001/01/29 00:00:00,50,
B14C0149,002,2001/02/14 00:00:00,63,
B14C0149,002,2001/03/14 00:00:00,50,
B14C0149,002,2001/03/28 00:00:00,49,
B14C0149,002,2001/04/27 00:00:00,53,
B14C0149,002,2001/05/14 00:00:00,50,
B14C0149,002,2001/05/29 00:00:00,55,
B14C0149,002,2001/06/14 00:00:00,74,
B14C0149,002,2001/06/27 00:00:00,75,
B14C0149,002,2001/07/13 00:00:00,51,
B14C0149,002,2001/07/27 00:00:00,59,
B14C0149,002,2001/08/13 00:00:00,54,
B14C0149,002,2001/08/28 00:00:00,57,
B14C0149,002,2001/10/02 00:00:00,42,
B14C0149,002,2001/10/12 00:00:00,51,
B14C0149,002,2001/10/30 00:00:00,44,
