Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,13-12-1996,tot:,28-04-1999,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0150,001,14CP7061,106400,530270,7,30-03-1994,30-03-1994,17-05-1999,0,-7,-109,-159


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0150,001,13-12-1996,62,69,-62,,,,,,
B14C0150,001,14-01-1997,84,91,-84,,,,,,
B14C0150,001,28-01-1997,79,86,-79,,,,,,
B14C0150,001,14-02-1997,57,64,-57,,,,,,
B14C0150,001,03-03-1997,65,72,-65,,,,,,
B14C0150,001,14-03-1997,66,73,-66,,,,,,
B14C0150,001,28-03-1997,67,74,-67,,,,,,
B14C0150,001,14-04-1997,79,86,-79,,,,,,
B14C0150,001,29-04-1997,84,91,-84,,,,,,
B14C0150,001,14-05-1997,85,92,-85,,,,,,
B14C0150,001,01-07-1997,50,57,-50,,,,,,
B14C0150,001,18-07-1997,90,97,-90,,,,,,
B14C0150,001,29-07-1997,97,104,-97,,,,,,
B14C0150,001,13-08-1997,100,107,-100,,,,,,
B14C0150,001,28-08-1997,87,94,-87,,,,,,
B14C0150,001,15-10-1997,46,53,-46,,,,,,
B14C0150,001,29-10-1997,70,77,-70,,,,,,
B14C0150,001,14-11-1997,55,62,-55,,,,,,
B14C0150,001,28-11-1997,39,46,-39,,,,,,
B14C0150,001,15-12-1997,49,56,-49,,,,,,
B14C0150,001,27-12-1997,40,47,-40,,,,,,
B14C0150,001,14-01-1998,59,66,-59,,,,,,
B14C0150,001,29-01-1998,50,57,-50,,,,,,
B14C0150,001,16-02-1998,66,73,-66,,,,,,
B14C0150,001,27-02-1998,65,72,-65,,,,,,
B14C0150,001,16-03-1998,62,69,-62,,,,,,
B14C0150,001,14-04-1998,42,49,-42,,,,,,
B14C0150,001,28-04-1998,58,65,-58,,,,,,
B14C0150,001,14-05-1998,63,70,-63,,,,,,
B14C0150,001,27-05-1998,66,73,-66,,,,,,
B14C0150,001,13-06-1998,51,58,-51,,,,,,
B14C0150,001,26-06-1998,41,48,-41,,,,,,
B14C0150,001,14-07-1998,64,71,-64,,,,,,
B14C0150,001,14-08-1998,79,86,-79,,,,,,
B14C0150,001,29-08-1998,61,68,-61,,,,,,
B14C0150,001,14-09-1998,,,,O,,,,,
B14C0150,001,28-09-1998,48,55,-48,,,,,,
B14C0150,001,14-10-1998,22,29,-22,,,,,,
B14C0150,001,27-10-1998,,,,O,,,,,
B14C0150,001,14-11-1998,3,10,-3,,,,,,
B14C0150,001,27-11-1998,27,34,-27,,,,,,
B14C0150,001,14-12-1998,,,,O,,,,,
B14C0150,001,28-12-1998,,,,O,,,,,
B14C0150,001,15-01-1999,,,,O,,,,,
B14C0150,001,28-01-1999,,,,O,,,,,
B14C0150,001,15-02-1999,41,48,-41,,,,,,
B14C0150,001,15-03-1999,54,61,-54,,,,,,
B14C0150,001,29-03-1999,50,57,-50,,,,,,
B14C0150,001,15-04-1999,40,47,-40,,,,,,
B14C0150,001,28-04-1999,64,71,-64,,,,,,
