Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0148,001,14CP7059,106400,529220,-91,31-03-1994,31-03-1994,30-10-2012,-95,-4,-190,-240
B14C0148,001,14CP7059,106400,529220,-103,30-10-2012,30-10-2012,27-08-2019,-101,2,-196,-246


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0148,001,16-09-1996,86,90,-181,,,,,,
B14C0148,001,30-09-1996,85,89,-180,,,,,,
B14C0148,001,15-10-1996,82,86,-177,,,,,,
B14C0148,001,26-10-1996,60,64,-155,,,,,,
B14C0148,001,13-11-1996,11,15,-106,,,,,,
B14C0148,001,28-11-1996,13,17,-108,,,,,,
B14C0148,001,14-02-1997,2,6,-97,,,,,,
B14C0148,001,03-03-1997,,,,O,,,,,
B14C0148,001,14-03-1997,10,14,-105,,,,,,
B14C0148,001,28-03-1997,16,20,-111,,,,,,
B14C0148,001,14-05-1997,20,24,-115,,,,,,
B14C0148,001,28-05-1997,71,75,-166,,,,,,
B14C0148,001,13-06-1997,83,87,-178,,,,,,
B14C0148,001,01-07-1997,41,45,-136,,,,,,
B14C0148,001,18-07-1997,75,79,-170,,,,,,
B14C0148,001,29-07-1997,79,83,-174,,,,,,
B14C0148,001,13-08-1997,84,88,-179,,,,,,
B14C0148,001,28-08-1997,80,84,-175,,,,,,
B14C0148,001,15-10-1997,55,59,-150,,,,,,
B14C0148,001,29-10-1997,60,64,-155,,,,,,
B14C0148,001,14-11-1997,35,39,-130,,,,,,
B14C0148,001,28-11-1997,3,7,-98,,,,,,
B14C0148,001,15-12-1997,,,,O,,,,,
B14C0148,001,27-12-1997,,,,O,,,,,
B14C0148,001,14-01-1998,,,,O,,,,,
B14C0148,001,29-01-1998,15,19,-110,,,,,,
B14C0148,001,16-02-1998,28,32,-123,,,,,,
B14C0148,001,27-02-1998,31,35,-126,,,,,,
B14C0148,001,16-03-1998,21,25,-116,,,,,,
B14C0148,001,14-04-1998,6,10,-101,,,,,,
B14C0148,001,28-04-1998,18,22,-113,,,,,,
B14C0148,001,14-05-1998,61,65,-156,,,,,,
B14C0148,001,27-05-1998,75,79,-170,,,,,,
B14C0148,001,13-06-1998,20,24,-115,,,,,,
B14C0148,001,26-06-1998,17,21,-112,,,,,,
B14C0148,001,14-07-1998,64,68,-159,,,,,,
B14C0148,001,14-08-1998,80,84,-175,,,,,,
B14C0148,001,29-08-1998,52,56,-147,,,,,,
B14C0148,001,14-09-1998,,,,O,,,,,
B14C0148,001,28-09-1998,34,38,-129,,,,,,
B14C0148,001,14-11-1998,13,17,-108,,,,,,
B14C0148,001,27-11-1998,15,19,-110,,,,,,
B14C0148,001,14-12-1998,10,14,-105,,,,,,
B14C0148,001,28-12-1998,7,11,-102,,,,,,
B14C0148,001,15-01-1999,8,12,-103,,,,,,
B14C0148,001,28-01-1999,8,12,-103,,,,,,
B14C0148,001,15-02-1999,5,9,-100,,,,,,
B14C0148,001,15-03-1999,22,26,-117,,,,,,
B14C0148,001,29-03-1999,22,26,-117,,,,,,
B14C0148,001,15-04-1999,6,10,-101,,,,,,
B14C0148,001,28-04-1999,50,54,-145,,,,,,
B14C0148,001,17-05-1999,67,71,-162,,,,,,
B14C0148,001,28-05-1999,76,80,-171,,,,,,
B14C0148,001,14-06-1999,76,80,-171,,,,,,
B14C0148,001,28-06-1999,81,85,-176,,,,,,
B14C0148,001,13-07-1999,86,90,-181,,,,,,
B14C0148,001,28-07-1999,91,95,-186,,,,,,
B14C0148,001,13-08-1999,98,102,-193,,,,,,
B14C0148,001,27-08-1999,92,96,-187,,,,,,
B14C0148,001,13-09-1999,95,99,-190,,,,,,
B14C0148,001,27-09-1999,90,94,-185,,,,,,
B14C0148,001,14-10-1999,40,44,-135,,,,,,
B14C0148,001,28-10-1999,26,30,-121,,,,,,
B14C0148,001,15-11-1999,18,22,-113,,,,,,
B14C0148,001,29-11-1999,9,13,-104,,,,,,
B14C0148,001,14-12-1999,,,,O,,,,,
B14C0148,001,27-12-1999,2,6,-97,,,,,,
B14C0148,001,15-01-2000,13,17,-108,,,,,,
B14C0148,001,27-01-2000,13,17,-108,,,,,,
B14C0148,001,15-02-2000,6,10,-101,,,,,,
B14C0148,001,28-02-2000,5,9,-100,,,,,,
B14C0148,001,14-03-2000,6,10,-101,,,,,,
B14C0148,001,28-03-2000,35,39,-130,,,,,,
B14C0148,001,14-04-2000,27,31,-122,,,,,,
B14C0148,001,27-04-2000,32,36,-127,,,,,,
B14C0148,001,15-05-2000,72,76,-167,,,,,,
B14C0148,001,29-05-2000,39,43,-134,,,,,,
B14C0148,001,14-06-2000,73,77,-168,,,,,,
B14C0148,001,27-06-2000,79,83,-174,,,,,,
B14C0148,001,14-07-2000,83,87,-178,,,,,,
B14C0148,001,27-07-2000,83,87,-178,,,,,,
B14C0148,001,14-08-2000,84,88,-179,,,,,,
B14C0148,001,28-08-2000,90,94,-185,,,,,,
B14C0148,001,14-09-2000,86,90,-181,,,,,,
B14C0148,001,12-10-2000,1,5,-96,,,,,,
B14C0148,001,26-10-2000,1,5,-96,,,,,,
B14C0148,001,14-11-2000,2,6,-97,,,,,,
B14C0148,001,28-11-2000,2,6,-97,,,,,,
B14C0148,001,14-12-2000,3,7,-98,,,,,,
B14C0148,001,15-01-2001,15,19,-110,,,,,,
B14C0148,001,29-01-2001,3,7,-98,,,,,,
B14C0148,001,14-02-2001,5,9,-100,,,,,,
B14C0148,001,28-02-2001,5,9,-100,,,,,,
B14C0148,001,14-03-2001,4,8,-99,,,,,,
B14C0148,001,28-03-2001,11,15,-106,,,,,,
B14C0148,001,27-04-2001,11,15,-106,,,,,,
B14C0148,001,14-05-2001,58,62,-153,,,,,,
B14C0148,001,29-05-2001,65,69,-160,,,,,,
B14C0148,001,14-06-2001,95,99,-190,,,,,,
B14C0148,001,27-06-2001,97,101,-192,,,,,,
B14C0148,001,13-07-2001,85,89,-180,,,,,,
B14C0148,001,27-07-2001,91,95,-186,,,,,,
B14C0148,001,13-08-2001,91,95,-186,,,,,,
B14C0148,001,28-08-2001,88,92,-183,,,,,,
B14C0148,001,02-10-2001,10,14,-105,,,,,,
B14C0148,001,12-10-2001,27,31,-122,,,,,,
B14C0148,001,30-10-2001,19,23,-114,,,,,,
B14C0148,001,14-11-2001,7,11,-102,,,,,,
