Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-10-2021,,,,,,,,
Gegevens beschikbaar:,16-09-1996,tot:,27-08-2019,,,,,,,,
Datum: ,28-10-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14C0147,001,14CP7058,105910,529120,-113,07-04-1994,07-04-1994,30-12-2012,-60,53,-560,-610
B14C0147,001,14CP7058,105910,529120,-127,30-10-2012,30-12-2012,27-08-2019,-74,53,-575,-625


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14C0147,001,16-09-1996,90,37,-150,,,,,,
B14C0147,001,30-09-1996,80,27,-140,,,,,,
B14C0147,001,15-10-1996,57,4,-117,,,,,,
B14C0147,001,26-10-1996,47,-6,-107,,,,,,
B14C0147,001,13-11-1996,40,-13,-100,,,,,,
B14C0147,001,28-11-1996,40,-13,-100,,,,,,
B14C0147,001,13-12-1996,45,-8,-105,,,,,,
B14C0147,001,14-01-1997,53,0,-113,,,,,,
B14C0147,001,28-01-1997,53,0,-113,,,,,,
B14C0147,001,14-02-1997,47,-6,-107,,,,,,
B14C0147,001,03-03-1997,49,-4,-109,,,,,,
B14C0147,001,14-03-1997,53,0,-113,,,,,,
B14C0147,001,28-03-1997,52,-1,-112,,,,,,
B14C0147,001,14-04-1997,59,6,-119,,,,,,
B14C0147,001,29-04-1997,57,4,-117,,,,,,
B14C0147,001,14-05-1997,53,0,-113,,,,,,
B14C0147,001,28-05-1997,57,4,-117,,,,,,
B14C0147,001,13-06-1997,60,7,-120,,,,,,
B14C0147,001,01-07-1997,49,-4,-109,,,,,,
B14C0147,001,18-07-1997,60,7,-120,,,,,,
B14C0147,001,29-07-1997,58,5,-118,,,,,,
B14C0147,001,13-08-1997,67,14,-127,,,,,,
B14C0147,001,28-08-1997,60,7,-120,,,,,,
B14C0147,001,15-10-1997,69,16,-129,,,,,,
B14C0147,001,29-10-1997,58,5,-118,,,,,,
B14C0147,001,14-11-1997,50,-3,-110,,,,,,
B14C0147,001,28-11-1997,49,-4,-109,,,,,,
B14C0147,001,15-12-1997,47,-6,-107,,,,,,
B14C0147,001,27-12-1997,45,-8,-105,,,,,,
B14C0147,001,14-01-1998,42,-11,-102,,,,,,
B14C0147,001,29-01-1998,49,-4,-109,,,,,,
B14C0147,001,16-02-1998,50,-3,-110,,,,,,
B14C0147,001,27-02-1998,52,-1,-112,,,,,,
B14C0147,001,16-03-1998,46,-7,-106,,,,,,
B14C0147,001,14-04-1998,40,-13,-100,,,,,,
B14C0147,001,28-04-1998,42,-11,-102,,,,,,
B14C0147,001,14-05-1998,55,2,-115,,,,,,
B14C0147,001,27-05-1998,57,4,-117,,,,,,
B14C0147,001,13-06-1998,42,-11,-102,,,,,,
B14C0147,001,26-06-1998,43,-10,-103,,,,,,
B14C0147,001,14-07-1998,50,-3,-110,,,,,,
B14C0147,001,14-08-1998,60,7,-120,,,,,,
B14C0147,001,29-08-1998,49,-4,-109,,,,,,
B14C0147,001,14-09-1998,36,-17,-96,,,,,,
B14C0147,001,28-09-1998,43,-10,-103,,,,,,
B14C0147,001,14-11-1998,35,-18,-95,,,,,,
B14C0147,001,27-11-1998,43,-10,-103,,,,,,
B14C0147,001,14-12-1998,44,-9,-104,,,,,,
B14C0147,001,28-12-1998,37,-16,-97,,,,,,
B14C0147,001,15-01-1999,37,-16,-97,,,,,,
B14C0147,001,28-01-1999,35,-18,-95,,,,,,
B14C0147,001,15-02-1999,44,-9,-104,,,,,,
B14C0147,001,15-03-1999,45,-8,-105,,,,,,
B14C0147,001,29-03-1999,44,-9,-104,,,,,,
B14C0147,001,15-04-1999,40,-13,-100,,,,,,
B14C0147,001,28-04-1999,50,-3,-110,,,,,,
B14C0147,001,17-05-1999,57,4,-117,,,,,,
B14C0147,001,28-05-1999,63,10,-123,,,,,,
B14C0147,001,14-06-1999,58,5,-118,,,,,,
B14C0147,001,28-06-1999,64,11,-124,,,,,,
B14C0147,001,13-07-1999,62,9,-122,,,,,,
B14C0147,001,28-07-1999,68,15,-128,,,,,,
B14C0147,001,13-08-1999,65,12,-125,,,,,,
B14C0147,001,27-08-1999,58,5,-118,,,,,,
B14C0147,001,13-09-1999,62,9,-122,,,,,,
B14C0147,001,27-09-1999,55,2,-115,,,,,,
B14C0147,001,14-10-1999,47,-6,-107,,,,,,
B14C0147,001,28-10-1999,49,-4,-109,,,,,,
B14C0147,001,15-11-1999,48,-5,-108,,,,,,
B14C0147,001,29-11-1999,42,-11,-102,,,,,,
B14C0147,001,14-12-1999,31,-22,-91,,,,,,
B14C0147,001,27-12-1999,33,-20,-93,,,,,,
B14C0147,001,15-01-2000,46,-7,-106,,,,,,
B14C0147,001,27-01-2000,45,-8,-105,,,,,,
B14C0147,001,15-02-2000,38,-15,-98,,,,,,
B14C0147,001,28-02-2000,40,-13,-100,,,,,,
B14C0147,001,14-03-2000,44,-9,-104,,,,,,
B14C0147,001,28-03-2000,51,-2,-111,,,,,,
B14C0147,001,14-04-2000,50,-3,-110,,,,,,
B14C0147,001,27-04-2000,50,-3,-110,,,,,,
B14C0147,001,15-05-2000,62,9,-122,,,,,,
B14C0147,001,29-05-2000,48,-5,-108,,,,,,
B14C0147,001,14-06-2000,56,3,-116,,,,,,
B14C0147,001,27-06-2000,62,9,-122,,,,,,
B14C0147,001,14-07-2000,54,1,-114,,,,,,
B14C0147,001,27-07-2000,59,6,-119,,,,,,
B14C0147,001,14-08-2000,62,9,-122,,,,,,
B14C0147,001,28-08-2000,57,4,-117,,,,,,
B14C0147,001,14-09-2000,52,-1,-112,,,,,,
B14C0147,001,12-10-2000,38,-15,-98,,,,,,
B14C0147,001,26-10-2000,42,-11,-102,,,,,,
B14C0147,001,14-11-2000,37,-16,-97,,,,,,
B14C0147,001,28-11-2000,40,-13,-100,,,,,,
B14C0147,001,14-12-2000,38,-15,-98,,,,,,
B14C0147,001,15-01-2001,47,-6,-107,,,,,,
B14C0147,001,29-01-2001,42,-11,-102,,,,,,
B14C0147,001,14-02-2001,45,-8,-105,,,,,,
B14C0147,001,28-02-2001,44,-9,-104,,,,,,
B14C0147,001,14-03-2001,43,-10,-103,,,,,,
B14C0147,001,28-03-2001,45,-8,-105,,,,,,
B14C0147,001,27-04-2001,46,-7,-106,,,,,,
B14C0147,001,14-05-2001,65,12,-125,,,,,,
B14C0147,001,29-05-2001,56,3,-116,,,,,,
B14C0147,001,14-06-2001,81,28,-141,,,,,,
B14C0147,001,27-06-2001,85,32,-145,,,,,,
